# BUSCO version is: 6.0.0 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-07-01, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
131at5794	Complete	1438_g	384.0	242	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
288at5794	Complete	1816_g	558.1	322	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
438at5794	Missing
596at5794	Missing
1669at5794	Complete	1869_g	434.0	208	https://www.orthodb.org/?query=1669at5794	rRNA 2'-O-methyltransferase fibrillarin
2329at5794	Complete	130_g	208.1	129	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2798at5794	Complete	1410_g	387.6	346	https://www.orthodb.org/?query=2798at5794	protein kinase
2981at5794	Fragmented	1647_g	134.1	217	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
3250at5794	Complete	1849_g	393.7	292	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3276at5794	Complete	1072_g	569.1	599	https://www.orthodb.org/?query=3276at5794	helicase
3510at5794	Missing
3740at5794	Missing
3782at5794	Complete	1163_g	50.9	146	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3876at5794	Missing
4079at5794	Complete	2178_g	230.4	139	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4131at5794	Complete	685_g	473.5	306	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4331at5794	Complete	651_g	405.8	476	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
5090at5794	Complete	2660_g	410.8	348	https://www.orthodb.org/?query=5090at5794	transporter
5439at5794	Missing
5539at5794	Complete	4318_g	313.1	318	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5667at5794	Complete	2192_g	322.1	279	https://www.orthodb.org/?query=5667at5794	mitochondrial carrier protein
7741at5794	Complete	3430_g	308.3	184	https://www.orthodb.org/?query=7741at5794	rRNA-processing protein FCF1
7803at5794	Complete	4589_g	594.8	371	https://www.orthodb.org/?query=7803at5794	actin
7861at5794	Complete	4681_g	436.9	246	https://www.orthodb.org/?query=7861at5794	Phosphoglycerate mutase
7878at5794	Missing
7921at5794	Complete	2803_g	73.7	121	https://www.orthodb.org/?query=7921at5794	N-terminal acetyltransferase complex ARD1 subunit
8083at5794	Complete	2226_g	195.7	131	https://www.orthodb.org/?query=8083at5794	DNA-directed RNA polymerases I
8233at5794	Duplicated	1175_g	544.4	319	https://www.orthodb.org/?query=8233at5794	replication factor C subunit
8233at5794	Duplicated	2492_g	544.4	319	https://www.orthodb.org/?query=8233at5794	replication factor C subunit
8315at5794	Complete	4194_g	347.9	357	https://www.orthodb.org/?query=8315at5794	zinc finger, C3HC4 type (RING finger) domain-containing protein
8326at5794	Complete	2117_g	310.0	165	https://www.orthodb.org/?query=8326at5794	ras-related protein Rab-11A
8327at5794	Complete	118_g	160.5	188	https://www.orthodb.org/?query=8327at5794	putative Transcription initiation factor TFIID subunit 7
8399at5794	Complete	1782_g	498.5	292	https://www.orthodb.org/?query=8399at5794	putative ribosomal Rna (adenine(1779)-N(6)/adenine(1780)-N(6))- dimethyltransferase
8453at5794	Complete	1746_g	269.3	246	https://www.orthodb.org/?query=8453at5794	DNA-directed RNA polymerase III
8461at5794	Complete	2091_g	266.7	142	https://www.orthodb.org/?query=8461at5794	40S ribosomal protein
8471at5794	Missing
8569at5794	Complete	365_g	248.2	145	https://www.orthodb.org/?query=8569at5794	nucleoside diphosphate kinase A
8628at5794	Complete	1789_g	374.8	218	https://www.orthodb.org/?query=8628at5794	uracil-DNA glycosylase
8796at5794	Complete	714_g	616.9	445	https://www.orthodb.org/?query=8796at5794	cardiolipin synthase, putative
8812at5794	Complete	2649_g	480.9	257	https://www.orthodb.org/?query=8812at5794	ribosome biogenesis protein nsa2
9051at5794	Complete	1581_g	1207.8	726	https://www.orthodb.org/?query=9051at5794	DNA replication licensing factor
9112at5794	Complete	448_g	472.1	392	https://www.orthodb.org/?query=9112at5794	zinc finger protein
9198at5794	Complete	1078_g	301.8	256	https://www.orthodb.org/?query=9198at5794	asparagine synthase
9558at5794	Missing
9567at5794	Missing
9663at5794	Complete	4717_g	309.6	279	https://www.orthodb.org/?query=9663at5794	endoplasmic reticulum oxidoreductin
9716at5794	Complete	860_g	507.5	336	https://www.orthodb.org/?query=9716at5794	Ethanolamine-phosphate cytidylyltransferase
9722at5794	Complete	4528_g	478.2	370	https://www.orthodb.org/?query=9722at5794	thioredoxin
9831at5794	Missing
9903at5794	Missing
9998at5794	Missing
10182at5794	Complete	1161_g	1164.8	903	https://www.orthodb.org/?query=10182at5794	kelch repeat-containing protein
10285at5794	Missing
