# BUSCO version is: 6.0.0 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-07-01, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
131at5794	Complete	1367_g	389.5	243	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
288at5794	Complete	1740_g	557.0	319	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
438at5794	Complete	4237_g	853.7	400	https://www.orthodb.org/?query=438at5794	ATP-dependent RNA helicase
596at5794	Complete	4390_g	187.0	103	https://www.orthodb.org/?query=596at5794	ribosomal protein L44
1669at5794	Complete	1793_g	437.6	208	https://www.orthodb.org/?query=1669at5794	rRNA 2'-O-methyltransferase fibrillarin
2329at5794	Complete	113_g	210.6	129	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2798at5794	Complete	1339_g	389.5	334	https://www.orthodb.org/?query=2798at5794	protein kinase
2981at5794	Complete	3631_g	406.8	299	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
3250at5794	Complete	1774_g	397.3	292	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3276at5794	Complete	1020_g	566.7	596	https://www.orthodb.org/?query=3276at5794	helicase
3510at5794	Complete	4474_g	359.1	327	https://www.orthodb.org/?query=3510at5794	bystin
3740at5794	Complete	2628_g	248.7	234	https://www.orthodb.org/?query=3740at5794	trna pseudouridine synthase
3782at5794	Complete	3881_g	213.8	154	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3876at5794	Complete	3419_g	245.6	206	https://www.orthodb.org/?query=3876at5794	Repressor of RNA polymerase III transcription Maf1
4079at5794	Complete	2085_g	228.8	139	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4131at5794	Complete	639_g	458.7	305	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4331at5794	Complete	610_g	409.2	473	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
5090at5794	Complete	2563_g	437.0	348	https://www.orthodb.org/?query=5090at5794	transporter
5439at5794	Complete	3712_g	1679.9	1047	https://www.orthodb.org/?query=5439at5794	Chromodomain-helicase-DNA-binding protein 1
5539at5794	Complete	4226_g	304.2	316	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5667at5794	Complete	2098_g	322.0	279	https://www.orthodb.org/?query=5667at5794	mitochondrial carrier protein
7741at5794	Complete	3339_g	310.5	184	https://www.orthodb.org/?query=7741at5794	rRNA-processing protein FCF1
7803at5794	Complete	4484_g	600.4	371	https://www.orthodb.org/?query=7803at5794	actin
7861at5794	Complete	4575_g	449.3	248	https://www.orthodb.org/?query=7861at5794	Phosphoglycerate mutase
7878at5794	Complete	4551_g	440.3	209	https://www.orthodb.org/?query=7878at5794	GTP-binding nuclear protein
7921at5794	Complete	4083_g	175.5	121	https://www.orthodb.org/?query=7921at5794	N-terminal acetyltransferase complex ARD1 subunit
