#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
855_g                -           1186 69164                -           1175   2.6e-40  134.3 114.6   1   2     7e-31   3.4e-28   94.2 107.5    42  1035     6  1015     2  1025 0.81 length=1186	scaffold=contig01325	strand=-	adjustedToFrame=2
855_g                -           1186 69164                -           1175   2.6e-40  134.3 114.6   2   2   1.7e-14     8e-12   40.0   0.1  1071  1147  1078  1155  1074  1164 0.88 length=1186	scaffold=contig01325	strand=-	adjustedToFrame=2
698_g                -           1274 69164                -           1175   4.2e-25   84.0  41.7   1   6      0.56   2.7e+02   -4.8  35.2   339   510    35   201     9   204 0.50 length=1275	scaffold=contig01033	strand=-
698_g                -           1274 69164                -           1175   4.2e-25   84.0  41.7   2   6   1.9e-05    0.0092   10.0  47.2   267   599   123   453   109   464 0.59 length=1275	scaffold=contig01033	strand=-
698_g                -           1274 69164                -           1175   4.2e-25   84.0  41.7   3   6         3   1.4e+03  -10.8  20.1   696   777   465   546   452   557 0.49 length=1275	scaffold=contig01033	strand=-
698_g                -           1274 69164                -           1175   4.2e-25   84.0  41.7   4   6   1.7e-05    0.0083   10.1  60.0   616  1021   555   949   543   950 0.79 length=1275	scaffold=contig01033	strand=-
698_g                -           1274 69164                -           1175   4.2e-25   84.0  41.7   5   6      0.48   2.3e+02   -4.6  38.8   256   508   836  1094   835  1099 0.72 length=1275	scaffold=contig01033	strand=-
698_g                -           1274 69164                -           1175   4.2e-25   84.0  41.7   6   6   8.7e-28   4.2e-25   84.0  41.7   834  1170   927  1272   924  1273 0.67 length=1275	scaffold=contig01033	strand=-
778_g                -            664 69164                -           1175   4.7e-05   17.6 115.0   1   3   2.6e-07   0.00012   16.2  55.5   720   995     4   273     1   276 0.87 length=665	scaffold=contig01182	strand=-	adjustedToFrame=2
778_g                -            664 69164                -           1175   4.7e-05   17.6 115.0   2   3    0.0081       3.9    1.3  42.0   684   929   241   479   230   491 0.70 length=665	scaffold=contig01182	strand=-	adjustedToFrame=2
778_g                -            664 69164                -           1175   4.7e-05   17.6 115.0   3   3   0.00086      0.41    4.5  29.1   318   552   429   655   424   661 0.68 length=665	scaffold=contig01182	strand=-	adjustedToFrame=2
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-20-2025/Malaria/busco_downloads/lineages/apicomplexa_odb12/hmms/69164at5794.hmm
# Target file:     /home/inf-20-2025/Malaria/Results/6_nobird_annotation/H_tartakovskyi.faa
# Option settings: hmmsearch --domtblout Results/8_busco/H_tartakovskyi/run_apicomplexa_odb12/hmmer_output/initial_run_results/69164at5794.out --cpu 1 /home/inf-20-2025/Malaria/busco_downloads/lineages/apicomplexa_odb12/hmms/69164at5794.hmm /home/inf-20-2025/Malaria/Results/6_nobird_annotation/H_tartakovskyi.faa 
# Current dir:     /home/inf-20-2025/Malaria
# Date:            Wed Mar  4 18:30:11 2026
# [ok]
