# BUSCO version is: 6.0.0 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-07-01, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
131at5794	Complete	1649_g	381.0	243	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
288at5794	Complete	1406_g	544.8	319	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
438at5794	Complete	3901_g	850.7	399	https://www.orthodb.org/?query=438at5794	ATP-dependent RNA helicase
596at5794	Complete	3749_g	184.0	102	https://www.orthodb.org/?query=596at5794	ribosomal protein L44
1669at5794	Complete	1350_g	436.9	208	https://www.orthodb.org/?query=1669at5794	rRNA 2'-O-methyltransferase fibrillarin
2329at5794	Complete	4624_g	210.7	129	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2798at5794	Complete	1679_g	367.4	333	https://www.orthodb.org/?query=2798at5794	protein kinase
2981at5794	Complete	3311_g	395.4	297	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
3250at5794	Complete	1372_g	385.8	291	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3276at5794	Complete	237_g	527.7	591	https://www.orthodb.org/?query=3276at5794	helicase
3510at5794	Complete	2626_g	335.5	332	https://www.orthodb.org/?query=3510at5794	bystin
3740at5794	Complete	721_g	250.2	236	https://www.orthodb.org/?query=3740at5794	trna pseudouridine synthase
3782at5794	Complete	4127_g	210.3	155	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3876at5794	Complete	5113_g	209.0	207	https://www.orthodb.org/?query=3876at5794	Repressor of RNA polymerase III transcription Maf1
4079at5794	Complete	792_g	227.3	142	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4131at5794	Complete	3508_g	465.2	308	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4331at5794	Complete	3537_g	335.9	474	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
5090at5794	Complete	1073_g	416.7	348	https://www.orthodb.org/?query=5090at5794	transporter
5439at5794	Complete	3229_g	1625.0	1117	https://www.orthodb.org/?query=5439at5794	Chromodomain-helicase-DNA-binding protein 1
5539at5794	Complete	3914_g	256.8	318	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5667at5794	Complete	778_g	305.7	279	https://www.orthodb.org/?query=5667at5794	mitochondrial carrier protein
7741at5794	Complete	847_g	299.2	184	https://www.orthodb.org/?query=7741at5794	rRNA-processing protein FCF1
7803at5794	Complete	2634_g	572.0	370	https://www.orthodb.org/?query=7803at5794	actin
7861at5794	Complete	2727_g	447.3	248	https://www.orthodb.org/?query=7861at5794	Phosphoglycerate mutase
