# BUSCO version is: 6.0.0 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-07-01, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
131at5794	Complete	1393_g	391.0	243	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
288at5794	Complete	1769_g	559.9	319	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
438at5794	Complete	4228_g	854.2	400	https://www.orthodb.org/?query=438at5794	ATP-dependent RNA helicase
596at5794	Complete	4383_g	187.0	103	https://www.orthodb.org/?query=596at5794	ribosomal protein L44
1669at5794	Complete	1827_g	433.6	208	https://www.orthodb.org/?query=1669at5794	rRNA 2'-O-methyltransferase fibrillarin
2329at5794	Complete	121_g	209.1	129	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2798at5794	Complete	1363_g	386.2	345	https://www.orthodb.org/?query=2798at5794	protein kinase
2981at5794	Complete	3663_g	417.3	299	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
3250at5794	Complete	1807_g	400.2	292	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3276at5794	Complete	1038_g	587.7	599	https://www.orthodb.org/?query=3276at5794	helicase
3510at5794	Complete	4469_g	365.4	321	https://www.orthodb.org/?query=3510at5794	bystin
3740at5794	Complete	2651_g	267.1	233	https://www.orthodb.org/?query=3740at5794	trna pseudouridine synthase
3782at5794	Complete	3887_g	213.1	154	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3876at5794	Fragmented	3422_g	193.3	159	https://www.orthodb.org/?query=3876at5794	Repressor of RNA polymerase III transcription Maf1
4079at5794	Complete	2128_g	228.8	139	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4131at5794	Complete	666_g	469.7	307	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4331at5794	Complete	635_g	416.0	475	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
5090at5794	Complete	2588_g	439.3	348	https://www.orthodb.org/?query=5090at5794	transporter
5439at5794	Complete	3576_g	1684.7	1071	https://www.orthodb.org/?query=5439at5794	Chromodomain-helicase-DNA-binding protein 1
5539at5794	Complete	4215_g	324.6	318	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5667at5794	Complete	2141_g	317.0	279	https://www.orthodb.org/?query=5667at5794	mitochondrial carrier protein
7741at5794	Complete	3357_g	311.1	184	https://www.orthodb.org/?query=7741at5794	rRNA-processing protein FCF1
7803at5794	Complete	4477_g	590.7	371	https://www.orthodb.org/?query=7803at5794	actin
7861at5794	Complete	4568_g	447.9	248	https://www.orthodb.org/?query=7861at5794	Phosphoglycerate mutase
7878at5794	Complete	4542_g	440.6	209	https://www.orthodb.org/?query=7878at5794	GTP-binding nuclear protein
7921at5794	Complete	4065_g	176.5	121	https://www.orthodb.org/?query=7921at5794	N-terminal acetyltransferase complex ARD1 subunit
8083at5794	Complete	2170_g	210.1	134	https://www.orthodb.org/?query=8083at5794	DNA-directed RNA polymerases I
8233at5794	Complete	2424_g	554.3	319	https://www.orthodb.org/?query=8233at5794	replication factor C subunit
8315at5794	Fragmented	4102_g	338.9	280	https://www.orthodb.org/?query=8315at5794	zinc finger, C3HC4 type (RING finger) domain-containing protein
8326at5794	Complete	2074_g	312.6	165	https://www.orthodb.org/?query=8326at5794	ras-related protein Rab-11A
8327at5794	Fragmented	3970_g	129.8	151	https://www.orthodb.org/?query=8327at5794	putative Transcription initiation factor TFIID subunit 7
8399at5794	Complete	1739_g	498.6	292	https://www.orthodb.org/?query=8399at5794	putative ribosomal Rna (adenine(1779)-N(6)/adenine(1780)-N(6))- dimethyltransferase
8453at5794	Complete	1689_g	283.7	246	https://www.orthodb.org/?query=8453at5794	DNA-directed RNA polymerase III
8461at5794	Complete	2049_g	269.1	143	https://www.orthodb.org/?query=8461at5794	40S ribosomal protein
8471at5794	Complete	3312_g	1219.6	663	https://www.orthodb.org/?query=8471at5794	transport protein
8569at5794	Complete	358_g	252.8	147	https://www.orthodb.org/?query=8569at5794	nucleoside diphosphate kinase A
8628at5794	Complete	1746_g	374.1	218	https://www.orthodb.org/?query=8628at5794	uracil-DNA glycosylase
8796at5794	Complete	688_g	609.3	446	https://www.orthodb.org/?query=8796at5794	cardiolipin synthase, putative
8812at5794	Complete	2578_g	475.2	258	https://www.orthodb.org/?query=8812at5794	ribosome biogenesis protein nsa2
9051at5794	Complete	1534_g	1223.6	727	https://www.orthodb.org/?query=9051at5794	DNA replication licensing factor
9112at5794	Complete	436_g	468.6	392	https://www.orthodb.org/?query=9112at5794	zinc finger protein
9198at5794	Complete	1045_g	296.8	259	https://www.orthodb.org/?query=9198at5794	asparagine synthase
9558at5794	Complete	2551_g	638.3	735	https://www.orthodb.org/?query=9558at5794	methyltransferase
9567at5794	Fragmented	3731_g	154.1	87	https://www.orthodb.org/?query=9567at5794	protein RER1
9663at5794	Complete	4606_g	324.0	279	https://www.orthodb.org/?query=9663at5794	endoplasmic reticulum oxidoreductin
9716at5794	Complete	828_g	508.7	338	https://www.orthodb.org/?query=9716at5794	Ethanolamine-phosphate cytidylyltransferase
9722at5794	Complete	4424_g	482.4	370	https://www.orthodb.org/?query=9722at5794	thioredoxin
9831at5794	Complete	3036_g	360.6	375	https://www.orthodb.org/?query=9831at5794	hypothetical protein, conserved
9903at5794	Complete	3780_g	299.4	276	https://www.orthodb.org/?query=9903at5794	S1/P1 nuclease
9998at5794	Complete	3404_g	223.7	147	https://www.orthodb.org/?query=9998at5794	nuclear cap-binding protein
10182at5794	Complete	1122_g	1163.8	902	https://www.orthodb.org/?query=10182at5794	kelch repeat-containing protein
10285at5794	Complete	4030_g	440.7	354	https://www.orthodb.org/?query=10285at5794	vacuolar protein sorting-associated protein 33
10332at5794	Complete	1279_g	646.0	577	https://www.orthodb.org/?query=10332at5794	ribosome biogenesis protein
10486at5794	Complete	1085_g	638.3	512	https://www.orthodb.org/?query=10486at5794	histone deacetylase
10895at5794	Complete	275_g	545.5	483	https://www.orthodb.org/?query=10895at5794	protein kinase
10954at5794	Complete	4249_g	727.4	464	https://www.orthodb.org/?query=10954at5794	RNA-metabolising metallo-beta-lactamase
11080at5794	Complete	2681_g	504.3	389	https://www.orthodb.org/?query=11080at5794	embryo sac development arrest eda7
11330at5794	Complete	2425_g	480.1	438	https://www.orthodb.org/?query=11330at5794	DEAD/DEAH box helicase
11341at5794	Fragmented	2800_g	520.9	479	https://www.orthodb.org/?query=11341at5794	vacuolar protein sorting-associated protein 53, putative
11416at5794	Complete	3382_g	228.4	213	https://www.orthodb.org/?query=11416at5794	translation initiation factor
11466at5794	Complete	2114_g	267.0	195	https://www.orthodb.org/?query=11466at5794	60s ribosomal protein L13
11488at5794	Missing
11496at5794	Complete	922_g	375.5	254	https://www.orthodb.org/?query=11496at5794	nuclear movement protein
11519at5794	Complete	2514_g	640.1	446	https://www.orthodb.org/?query=11519at5794	helicase
11538at5794	Complete	574_g	244.4	210	https://www.orthodb.org/?query=11538at5794	RNA methyltransferase
11552at5794	Complete	3924_g	782.8	479	https://www.orthodb.org/?query=11552at5794	thioredoxin reductase
11563at5794	Complete	4422_g	1104.8	781	https://www.orthodb.org/?query=11563at5794	SNF2 family N-terminal domain protein
11750at5794	Complete	232_g	1000.8	901	https://www.orthodb.org/?query=11750at5794	SET domain protein
11788at5794	Complete	2176_g	262.0	288	https://www.orthodb.org/?query=11788at5794	Geranylgeranyl transferase type-2 subunit beta
12091at5794	Missing
12206at5794	Complete	1258_g	194.2	194	https://www.orthodb.org/?query=12206at5794	G-patch domain
12214at5794	Complete	2286_g	177.4	213	https://www.orthodb.org/?query=12214at5794	WD domain, G-beta repeat domain containing protein
12280at5794	Complete	1166_g	552.6	329	https://www.orthodb.org/?query=12280at5794	replication factor C subunit
12327at5794	Complete	1843_g	302.4	310	https://www.orthodb.org/?query=12327at5794	CobW/HypB/UreG nucleotide-binding domain
12484at5794	Complete	1964_g	190.0	132	https://www.orthodb.org/?query=12484at5794	60S ribosomal protein L24,putative
12878at5794	Complete	4423_g	262.6	316	https://www.orthodb.org/?query=12878at5794	FCH domain containing protein
12887at5794	Complete	1299_g	293.4	281	https://www.orthodb.org/?query=12887at5794	3'-5' exonuclease
12975at5794	Complete	3356_g	158.5	119	https://www.orthodb.org/?query=12975at5794	zinc finger protein
13279at5794	Complete	2093_g	369.8	284	https://www.orthodb.org/?query=13279at5794	transcription elongation factor
13281at5794	Complete	4543_g	532.2	457	https://www.orthodb.org/?query=13281at5794	DNA mismatch repair protein
13310at5794	Complete	862_g	562.4	541	https://www.orthodb.org/?query=13310at5794	heat shock protein
13315at5794	Complete	2877_g	183.0	237	https://www.orthodb.org/?query=13315at5794	secy-independent transporter protein
13369at5794	Complete	43_g	246.6	193	https://www.orthodb.org/?query=13369at5794	transmembrane emp24 domain-containing protein
13548at5794	Complete	3319_g	176.1	113	https://www.orthodb.org/?query=13548at5794	Ribosomal protein L22e
13630at5794	Complete	3976_g	369.5	270	https://www.orthodb.org/?query=13630at5794	g2 protein
13731at5794	Complete	968_g	341.2	256	https://www.orthodb.org/?query=13731at5794	syntaxin
13853at5794	Complete	1021_g	321.6	341	https://www.orthodb.org/?query=13853at5794	translation initiation factor eIF-2B gamma subunit
13899at5794	Complete	1420_g	233.2	189	https://www.orthodb.org/?query=13899at5794	Scd6-like Sm domain
13921at5794	Complete	10_g	96.8	361	https://www.orthodb.org/?query=13921at5794	Formin 2 Domain containing protein
14090at5794	Missing
14108at5794	Complete	4463_g	287.7	236	https://www.orthodb.org/?query=14108at5794	Endoplasmic reticulum-resident calcium binding protein
14164at5794	Complete	480_g	677.2	693	https://www.orthodb.org/?query=14164at5794	methyltransferase
14250at5794	Complete	327_g	267.6	171	https://www.orthodb.org/?query=14250at5794	U2 small nuclear ribonucleoprotein A'
14463at5794	Complete	911_g	661.8	455	https://www.orthodb.org/?query=14463at5794	26S proteasome non-ATPase regulatory subunit 3
14555at5794	Complete	580_g	161.9	129	https://www.orthodb.org/?query=14555at5794	nascent polypeptide-associated complex subunit alpha
14579at5794	Complete	41_g	466.3	377	https://www.orthodb.org/?query=14579at5794	Ubiquitin carboxyl-terminal hydrolase
14591at5794	Complete	1725_g	94.9	192	https://www.orthodb.org/?query=14591at5794	cyclic nucleotide-binding domain protein
14730at5794	Complete	1873_g	192.2	144	https://www.orthodb.org/?query=14730at5794	ribosomal protein S27a
15005at5794	Complete	3190_g	214.8	127	https://www.orthodb.org/?query=15005at5794	DNA-directed RNA polymerase II, putative
15046at5794	Complete	2448_g	381.4	338	https://www.orthodb.org/?query=15046at5794	ADP-ribosylation factor GTPase-activating protein
15094at5794	Fragmented	440_g	148.0	267	https://www.orthodb.org/?query=15094at5794	sas10 c-terminal domain-containing protein
15130at5794	Complete	4652_g	437.7	336	https://www.orthodb.org/?query=15130at5794	apicomplexan specific
15169at5794	Complete	1715_g	634.7	532	https://www.orthodb.org/?query=15169at5794	RNA helicase
15301at5794	Complete	1755_g	323.4	300	https://www.orthodb.org/?query=15301at5794	zinc finger protein
15360at5794	Fragmented	1320_g	102.5	161	https://www.orthodb.org/?query=15360at5794	conserved hypothetical protein
15389at5794	Complete	4136_g	710.5	637	https://www.orthodb.org/?query=15389at5794	DNA2/NAM7 helicase
15422at5794	Complete	1394_g	270.0	197	https://www.orthodb.org/?query=15422at5794	vesicle-associated membrane protein
15559at5794	Complete	3565_g	433.7	408	https://www.orthodb.org/?query=15559at5794	kelch repeat containing protein
15680at5794	Complete	3260_g	227.7	151	https://www.orthodb.org/?query=15680at5794	unchacterized apicomplexan-specific serine rich low complexity
15803at5794	Complete	1067_g	226.2	179	https://www.orthodb.org/?query=15803at5794	SFT2
15911at5794	Complete	4335_g	144.6	104	https://www.orthodb.org/?query=15911at5794	60s acidic ribosomal protein P2
16038at5794	Complete	4414_g	166.3	114	https://www.orthodb.org/?query=16038at5794	60S acidic ribosomal protein
16211at5794	Complete	3925_g	186.3	121	https://www.orthodb.org/?query=16211at5794	Sgn1p-like RRM domain containing
17147at5794	Complete	4122_g	446.5	262	https://www.orthodb.org/?query=17147at5794	Diphthine synthase
17423at5794	Complete	3870_g	586.9	377	https://www.orthodb.org/?query=17423at5794	acid phosphatase
17586at5794	Complete	3798_g	167.2	102	https://www.orthodb.org/?query=17586at5794	small nuclear ribonucleoprotein
18021at5794	Complete	33_g	555.7	415	https://www.orthodb.org/?query=18021at5794	eukaryotic translation initiation factor 3
18026at5794	Complete	1327_g	286.4	155	https://www.orthodb.org/?query=18026at5794	centrin
18028at5794	Complete	2258_g	378.3	237	https://www.orthodb.org/?query=18028at5794	Integral membrane protein
18175at5794	Complete	883_g	369.1	213	https://www.orthodb.org/?query=18175at5794	V-type ATPase, D subunit
18178at5794	Complete	778_g	257.2	163	https://www.orthodb.org/?query=18178at5794	protein disulfide-isomerase
18694at5794	Complete	4507_g	684.1	401	https://www.orthodb.org/?query=18694at5794	mitogen-activated protein kinase
19052at5794	Complete	3324_g	173.6	157	https://www.orthodb.org/?query=19052at5794	hypothetical protein, conserved
19609at5794	Complete	1458_g	361.3	260	https://www.orthodb.org/?query=19609at5794	nucleosome assembly protein
19917at5794	Complete	1448_g	658.0	570	https://www.orthodb.org/?query=19917at5794	MJ1625 yease Yp1009cp-like domain-containing protein, putative
19925at5794	Complete	1637_g	549.2	360	https://www.orthodb.org/?query=19925at5794	proliferation-associated protein
20076at5794	Complete	1783_g	109.4	82	https://www.orthodb.org/?query=20076at5794	DNAJ protein
20195at5794	Complete	2203_g	651.2	599	https://www.orthodb.org/?query=20195at5794	RNA-binding protein
26645at5794	Complete	1631_g	233.4	194	https://www.orthodb.org/?query=26645at5794	putative TATA-box binding protein
26678at5794	Complete	4417_g	525.6	417	https://www.orthodb.org/?query=26678at5794	actin-like protein
31016at5794	Complete	1285_g	1725.8	811	https://www.orthodb.org/?query=31016at5794	elongation factor
31030at5794	Complete	138_g	986.8	668	https://www.orthodb.org/?query=31030at5794	eukaryotic translation initiation factor
31048at5794	Complete	3072_g	202.6	106	https://www.orthodb.org/?query=31048at5794	Ribosomal protein S26e
31088at5794	Complete	3640_g	519.0	338	https://www.orthodb.org/?query=31088at5794	tRNA N6-adenosine threonylcarbamoyltransferase
31099at5794	Complete	1403_g	328.9	191	https://www.orthodb.org/?query=31099at5794	peroxiredoxin
31117at5794	Complete	4646_g	208.4	131	https://www.orthodb.org/?query=31117at5794	Multiprotein bridging factor 1
31127at5794	Complete	623_g	459.5	290	https://www.orthodb.org/?query=31127at5794	mitochondrial import receptor subunit Tom40
31137at5794	Complete	468_g	775.4	477	https://www.orthodb.org/?query=31137at5794	Serine/threonine protein phosphatase
31179at5794	Complete	3738_g	222.4	131	https://www.orthodb.org/?query=31179at5794	ribosomal protein
31183at5794	Complete	4016_g	809.2	460	https://www.orthodb.org/?query=31183at5794	putative mitochondrial-processing peptidase subunit beta
31188at5794	Complete	543_g	746.9	486	https://www.orthodb.org/?query=31188at5794	poly(A) polymerase
31197at5794	Complete	4807_g	356.9	197	https://www.orthodb.org/?query=31197at5794	Ras family protein
31238at5794	Complete	1558_g	827.4	519	https://www.orthodb.org/?query=31238at5794	glucose-6-phosphate isomerase
31253at5794	Complete	1905_g	286.7	187	https://www.orthodb.org/?query=31253at5794	40s ribosomal protein
31266at5794	Complete	2416_g	649.4	428	https://www.orthodb.org/?query=31266at5794	WD domain, G-beta repeat domain containing protein
31310at5794	Complete	2660_g	890.0	516	https://www.orthodb.org/?query=31310at5794	DNA repair protein rad54
31324at5794	Complete	2995_g	201.4	179	https://www.orthodb.org/?query=31324at5794	Inosine triphosphate pyrophosphatase
31334at5794	Complete	3748_g	448.3	401	https://www.orthodb.org/?query=31334at5794	replication protein A1
31339at5794	Complete	4706_g	1579.2	1131	https://www.orthodb.org/?query=31339at5794	DNA-directed RNA polymerase
31354at5794	Complete	4192_g	988.7	538	https://www.orthodb.org/?query=31354at5794	chaperonin
31355at5794	Complete	3802_g	1608.2	1070	https://www.orthodb.org/?query=31355at5794	importin-beta N-terminal domain-containing
31387at5794	Complete	34_g	1019.4	616	https://www.orthodb.org/?query=31387at5794	AP-1 complex subunit beta-1
31400at5794	Complete	1323_g	486.0	244	https://www.orthodb.org/?query=31400at5794	40s ribosomal protein
31421at5794	Complete	4397_g	1042.9	694	https://www.orthodb.org/?query=31421at5794	putative N-ethylmaleimide-sensitive fusion protein
31431at5794	Complete	2087_g	255.1	181	https://www.orthodb.org/?query=31431at5794	negative elongation factor A
31484at5794	Complete	4395_g	700.6	415	https://www.orthodb.org/?query=31484at5794	lipin
31487at5794	Complete	2727_g	420.6	349	https://www.orthodb.org/?query=31487at5794	chromatin assembly factor 1 protein
31496at5794	Complete	206_g	252.9	167	https://www.orthodb.org/?query=31496at5794	Translationally-controlled tumor protein
31510at5794	Complete	4201_g	229.8	254	https://www.orthodb.org/?query=31510at5794	survival motor neuron-like protein
31523at5794	Complete	1758_g	480.3	331	https://www.orthodb.org/?query=31523at5794	diphthamide biosynthesis protein
31553at5794	Complete	865_g	496.1	382	https://www.orthodb.org/?query=31553at5794	WD domain G-beta repeat domain containing protein
31573at5794	Complete	1075_g	272.7	229	https://www.orthodb.org/?query=31573at5794	DnaJ protein
31598at5794	Complete	4287_g	317.8	214	https://www.orthodb.org/?query=31598at5794	translation initiation factor
31609at5794	Complete	4025_g	322.6	220	https://www.orthodb.org/?query=31609at5794	V-type proton ATPase subunit E
31610at5794	Complete	2980_g	330.5	268	https://www.orthodb.org/?query=31610at5794	actin
31618at5794	Complete	3671_g	340.1	348	https://www.orthodb.org/?query=31618at5794	WD domain, G-beta repeat domain containing protein
31647at5794	Complete	3005_g	392.2	310	https://www.orthodb.org/?query=31647at5794	pelota protein
31665at5794	Complete	4699_g	1234.0	620	https://www.orthodb.org/?query=31665at5794	heat shock protein
31696at5794	Complete	3873_g	470.6	301	https://www.orthodb.org/?query=31696at5794	eukaryotic translation initiation factor 3 subunit
31757at5794	Complete	2044_g	1084.4	731	https://www.orthodb.org/?query=31757at5794	DNA replication licensing factor
31775at5794	Complete	1787_g	402.5	317	https://www.orthodb.org/?query=31775at5794	rRNA metabolism protein SBDS family
31786at5794	Complete	1092_g	531.3	384	https://www.orthodb.org/?query=31786at5794	diacylglycerol kinase
31816at5794	Complete	471_g	1031.5	657	https://www.orthodb.org/?query=31816at5794	replication licensing factor
31823at5794	Complete	2717_g	291.6	223	https://www.orthodb.org/?query=31823at5794	TatD family hydrolase
31842at5794	Complete	4461_g	646.3	328	https://www.orthodb.org/?query=31842at5794	Casein kinase II, alpha subunit
31844at5794	Complete	3548_g	1020.9	812	https://www.orthodb.org/?query=31844at5794	N-acetyltransferase
31916at5794	Complete	684_g	478.4	368	https://www.orthodb.org/?query=31916at5794	splicing factor
31935at5794	Complete	2298_g	727.5	501	https://www.orthodb.org/?query=31935at5794	Radical SAM protein
31941at5794	Complete	3866_g	1174.6	654	https://www.orthodb.org/?query=31941at5794	putative pre-mRNA-splicing factor ATP-dependent RNA helicase
31955at5794	Complete	1512_g	308.2	250	https://www.orthodb.org/?query=31955at5794	WD domain, G-beta repeat domain containing protein
31960at5794	Complete	3472_g	2591.5	1997	https://www.orthodb.org/?query=31960at5794	U5 small nuclear ribonucleoprotein
31972at5794	Complete	2916_g	277.7	271	https://www.orthodb.org/?query=31972at5794	zinc finger protein
31975at5794	Complete	1306_g	167.7	201	https://www.orthodb.org/?query=31975at5794	nuclear movement domain-containing protein
31981at5794	Complete	3587_g	211.6	175	https://www.orthodb.org/?query=31981at5794	ef hand domain-containing
31982at5794	Complete	888_g	330.6	186	https://www.orthodb.org/?query=31982at5794	ribosomal protein L18
32004at5794	Complete	2586_g	744.0	587	https://www.orthodb.org/?query=32004at5794	heat shock protein
32028at5794	Complete	448_g	850.5	551	https://www.orthodb.org/?query=32028at5794	helicase
32042at5794	Complete	753_g	429.6	300	https://www.orthodb.org/?query=32042at5794	geranylgeranyl transferase type-2 subunit beta
32054at5794	Complete	4607_g	649.4	475	https://www.orthodb.org/?query=32054at5794	neutral sphingomyelinase activation associated factor-like BEACH domain containing
32074at5794	Complete	446_g	924.6	859	https://www.orthodb.org/?query=32074at5794	U3 small nucleolar RNA-associated protein 21
32087at5794	Complete	2063_g	543.6	444	https://www.orthodb.org/?query=32087at5794	N2,N2-dimethylguanosine tRNA methyltransferase
32100at5794	Complete	4648_g	448.0	336	https://www.orthodb.org/?query=32100at5794	Farnesyl pyrophosphate synthase
32118at5794	Complete	4354_g	271.6	215	https://www.orthodb.org/?query=32118at5794	microtubule associated protein protein
32123at5794	Complete	4438_g	248.2	212	https://www.orthodb.org/?query=32123at5794	Apicomplexa specific secreted protein Pf (23508265)
32139at5794	Complete	961_g	557.2	396	https://www.orthodb.org/?query=32139at5794	helicase
32158at5794	Complete	2959_g	637.4	435	https://www.orthodb.org/?query=32158at5794	seryl-trna
32187at5794	Complete	1721_g	1281.0	813	https://www.orthodb.org/?query=32187at5794	DNA replication licensing factor MCM2
32203at5794	Complete	4466_g	329.1	297	https://www.orthodb.org/?query=32203at5794	tetratricopeptide repeat protein
32216at5794	Complete	740_g	1379.1	1018	https://www.orthodb.org/?query=32216at5794	C2 domain-containing protein
32308at5794	Complete	141_g	1156.7	875	https://www.orthodb.org/?query=32308at5794	FACT complex subunit
32326at5794	Complete	1219_g	537.1	379	https://www.orthodb.org/?query=32326at5794	ATPase
32339at5794	Complete	2039_g	582.9	208	https://www.orthodb.org/?query=32339at5794	Choline-phosphate cytidylyltransferase
32347at5794	Complete	2146_g	738.0	439	https://www.orthodb.org/?query=32347at5794	helicase
32393at5794	Complete	3522_g	494.7	390	https://www.orthodb.org/?query=32393at5794	26S proteasome subunit
32429at5794	Complete	4707_g	448.7	377	https://www.orthodb.org/?query=32429at5794	Coatomer subunit delta
32487at5794	Complete	2655_g	401.3	437	https://www.orthodb.org/?query=32487at5794	cactin
32495at5794	Complete	2762_g	1570.3	956	https://www.orthodb.org/?query=32495at5794	cation-transporting P-type ATPase
32613at5794	Complete	621_g	466.7	406	https://www.orthodb.org/?query=32613at5794	Brf1p like coiled coil protein
32634at5794	Complete	4199_g	130.5	204	https://www.orthodb.org/?query=32634at5794	U4/U6.U5 tri-snRNP-associated protein 1, putative
32660at5794	Complete	554_g	1716.7	1250	https://www.orthodb.org/?query=32660at5794	SNF2 family N-terminal domain containing protein
32662at5794	Complete	3635_g	1552.9	1013	https://www.orthodb.org/?query=32662at5794	pre-mrna-splicing factor atp-dependent rna helicase
32682at5794	Complete	2031_g	359.4	259	https://www.orthodb.org/?query=32682at5794	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61
32723at5794	Complete	3458_g	514.8	306	https://www.orthodb.org/?query=32723at5794	RIO-like kinase domain N-terminal region conserved
32771at5794	Complete	4355_g	417.7	258	https://www.orthodb.org/?query=32771at5794	60s ribosomal protein
32782at5794	Complete	241_g	488.0	322	https://www.orthodb.org/?query=32782at5794	60s ribosomal protein
32794at5794	Complete	4501_g	471.6	313	https://www.orthodb.org/?query=32794at5794	UDP-galactose transporter
32841at5794	Complete	1240_g	758.4	553	https://www.orthodb.org/?query=32841at5794	AP-1 complex subunit gamma-1
32877at5794	Complete	1549_g	328.3	229	https://www.orthodb.org/?query=32877at5794	acetyltransferase, GnaT family protein
32910at5794	Complete	304_g	681.3	844	https://www.orthodb.org/?query=32910at5794	vacuolar protein sorting-associated protein 11
32933at5794	Complete	910_g	204.6	173	https://www.orthodb.org/?query=32933at5794	60S ribosomal
32971at5794	Complete	1051_g	199.8	140	https://www.orthodb.org/?query=32971at5794	60S ribosomal
32975at5794	Complete	1598_g	405.3	298	https://www.orthodb.org/?query=32975at5794	RNA methyltransferase
33032at5794	Complete	600_g	331.2	280	https://www.orthodb.org/?query=33032at5794	F-box protein FBXO1
33075at5794	Complete	3186_g	1175.7	821	https://www.orthodb.org/?query=33075at5794	26S proteasome regulatory subunit
33206at5794	Complete	3163_g	442.0	250	https://www.orthodb.org/?query=33206at5794	KRR1 small subunit processome component
33233at5794	Complete	3252_g	210.8	183	https://www.orthodb.org/?query=33233at5794	Coiled-coil domain-containing protein
33259at5794	Complete	1270_g	262.5	213	https://www.orthodb.org/?query=33259at5794	putative U1 snRNP-associated protein
33274at5794	Complete	4667_g	892.3	1013	https://www.orthodb.org/?query=33274at5794	Structural maintenance of chromosome protein
33286at5794	Complete	3065_g	438.1	323	https://www.orthodb.org/?query=33286at5794	SKIP/SNW domain-containing protein
33293at5794	Complete	1947_g	240.4	211	https://www.orthodb.org/?query=33293at5794	DNAJ protein
33299at5794	Complete	36_g	846.3	477	https://www.orthodb.org/?query=33299at5794	helicase
33365at5794	Complete	3191_g	472.9	341	https://www.orthodb.org/?query=33365at5794	PCI domain-containing
33372at5794	Complete	820_g	194.4	175	https://www.orthodb.org/?query=33372at5794	step ii splicing factor
33413at5794	Complete	3336_g	1412.6	1079	https://www.orthodb.org/?query=33413at5794	helicase
33447at5794	Complete	2666_g	1187.5	970	https://www.orthodb.org/?query=33447at5794	adenylate cyclase
33519at5794	Complete	244_g	254.7	258	https://www.orthodb.org/?query=33519at5794	Transcription factor 25
33556at5794	Complete	1607_g	467.9	405	https://www.orthodb.org/?query=33556at5794	GTPase
33649at5794	Complete	4615_g	166.7	122	https://www.orthodb.org/?query=33649at5794	ribosomal protein L35
33665at5794	Complete	2265_g	243.6	163	https://www.orthodb.org/?query=33665at5794	asf1
33766at5794	Complete	4029_g	147.9	217	https://www.orthodb.org/?query=33766at5794	U1 small nuclear ribonucleoprotein
33786at5794	Complete	4401_g	613.5	425	https://www.orthodb.org/?query=33786at5794	protein kinase
33797at5794	Complete	4427_g	203.4	171	https://www.orthodb.org/?query=33797at5794	RNA polymerase Rpb7, N-terminal domain containing protein
33810at5794	Complete	4747_g	470.9	463	https://www.orthodb.org/?query=33810at5794	WD domain G-beta repeat domain containing protein
33846at5794	Complete	1068_g	474.0	331	https://www.orthodb.org/?query=33846at5794	splicing factor
