# blastp, n = 154
#Query	Organism	Proteincd 	e-value	Identity [%]	Score
26_g    COTCO   MARE1   2e-32   46      127 (Coturnix coturnix, vaktel) 
26_g    COTCO   MARE1   1.6     37      34.7
26_g    COTJA   MARE1   2e-32   46      127 (Coturnix japonica)
26_g    COTJA   MARE1   1.5     37      34.7
639_g   COTJA   PCNA    3e-21   29      91.3
681_g   COTJA   RS17    3e-49   59      157
127_g   MELGA   CYC     1e-20   43      84.0 (Meleagris gallopavo, kalkon)
80_g    TAEGU   ARL3    3e-49   43      160 (Taeniopygia guttata, zebraink)
96_g    TAEGU   IF4A3   0.0     67      567
439_g   TAEGU   GET4    2e-10   21      64.7
8_g     CHICK   PRPF3   9e-42   37      166
20_g    CHICK   CLP1    6e-19   27      93.2
24_g    CHICK   RS12    9e-34   50      117
26_g    CHICK   MARE1   3e-32   46      127
26_g    CHICK   MARE1   0.94    22      35.4
55_g    CHICK   PCLO    4e-05   28      52.0
55_g    CHICK   PCLO    4e-04   25      48.9
56_g    CHICK   CCNL1   3e-48   38      170
71_g    CHICK   MRE11   1e-44   41      177
71_g    CHICK   MRE11   2e-12   50      75.5
77_g    CHICK   EPHA4   0.16    31      38.9
92_g    CHICK   DENR    3e-16   30      79.0
96_g    CHICK   IF4A3   0.0     67      567
141_g   CHICK   SBDS    1e-45   46      169
146_g   CHICK   VPS51   3e-07   26      58.9
152_g   CHICK   TPPC3   3e-22   46      89.4
154_g   CHICK   ERD22   1e-27   52      107
156_g   CHICK   CHD1    0.079   38      41.6
156_g   CHICK   CHD1    0.17    28      40.4
165_g   CHICK   DCA13   7e-81   43      262
165_g   CHICK   DCA13   6e-31   41      128
201_g   CHICK   PGPS1   2e-32   38      137
201_g   CHICK   PGPS1   6e-04   22      47.4
201_g   CHICK   PGPS1   0.40    47      38.1
205_g   CHICK   EF1B    1e-10   26      62.8
211_g   CHICK   VPS53   8e-24   26      112
211_g   CHICK   VPS53   7e-04   19      47.4
213_g   CHICK   REV1    5e-08   27      62.4
213_g   CHICK   REV1    0.013   24      44.3
231_g   CHICK   DMD     2.5     25      37.4
233_g   CHICK   TYW5    0.003   30      42.0
234_g   CHICK   TYW5    5e-18   34      89.0
234_g   CHICK   TYW5    0.021   27      41.2
247_g   CHICK   TNNC2   6.1     24      29.6
255_g   CHICK   AB17B   9e-42   36      157
289_g   CHICK   TRI59   0.18    25      37.0
292_g   CHICK   ADRM1   1e-07   51      51.2
347_g   CHICK   TPM2    0.24    25      39.7
377_g   CHICK   RABEK   2e-05   30      50.8
377_g   CHICK   RABEK   3.1     27      34.3
408_g   CHICK   PNO1    1e-65   51      207
414_g   CHICK   SSRP1   3e-68   30      235
460_g   CHICK   PTC1    6e-07   25      58.2
464_g   CHICK   RFC2    7e-118  52      347
469_g   CHICK   ERD22   5.9     38      30.4
486_g   CHICK   DCTN1   0.29    22      37.4
498_g   CHICK   T2R40   1.5     27      35.8
500_g   CHICK   AP2M1   2e-27   24      119
500_g   CHICK   AP2M1   7e-12   41      71.6
519_g   CHICK   PPR21   2.3     24      35.8
529_g   CHICK   BAZ2B   9e-04   35      46.6
529_g   CHICK   BAZ2B   2.1     30      35.4
529_g   CHICK   BAZ2B   3.8     26      34.7
545_g   CHICK   DDX1    3e-57   32      216
545_g   CHICK   DDX1    6e-19   29      97.1
549_g   CHICK   SEC62   5e-09   27      60.8
563_g   CHICK   PSA1    4e-42   42      144
597_g   CHICK   PRS4    3.5     30      30.0
609_g   CHICK   PRP19   2e-107  36      332
610_g   CHICK   RBBP7   4e-48   26      175
