# BUSCO version is: 6.0.0 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-07-01, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
131at5794	Duplicated	1008_g	378.6	243	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
131at5794	Duplicated	5516_g	374.0	240	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
288at5794	Complete	3050_g	532.2	303	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
438at5794	Complete	1613_g	705.6	331	https://www.orthodb.org/?query=438at5794	ATP-dependent RNA helicase
596at5794	Complete	7205_g	126.8	84	https://www.orthodb.org/?query=596at5794	ribosomal protein L44
1669at5794	Complete	1874_g	439.4	208	https://www.orthodb.org/?query=1669at5794	rRNA 2'-O-methyltransferase fibrillarin
2329at5794	Complete	3940_g	210.6	129	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2798at5794	Complete	1523_g	364.4	338	https://www.orthodb.org/?query=2798at5794	protein kinase
2981at5794	Complete	1366_g	414.0	299	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
3250at5794	Complete	741_g	392.5	291	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3276at5794	Missing
3510at5794	Fragmented	5734_g	190.6	122	https://www.orthodb.org/?query=3510at5794	bystin
3740at5794	Fragmented	4079_g	170.7	141	https://www.orthodb.org/?query=3740at5794	trna pseudouridine synthase
3782at5794	Complete	3694_g	116.9	128	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3876at5794	Complete	778_g	241.8	198	https://www.orthodb.org/?query=3876at5794	Repressor of RNA polymerase III transcription Maf1
4079at5794	Complete	2156_g	221.7	131	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4131at5794	Complete	4301_g	466.9	303	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4331at5794	Fragmented	1052_g	155.5	118	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
5090at5794	Fragmented	4153_g	186.7	198	https://www.orthodb.org/?query=5090at5794	transporter
5439at5794	Complete	884_g	1678.6	1083	https://www.orthodb.org/?query=5439at5794	Chromodomain-helicase-DNA-binding protein 1
5539at5794	Fragmented	3115_g	162.3	188	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5667at5794	Complete	3347_g	321.5	280	https://www.orthodb.org/?query=5667at5794	mitochondrial carrier protein
