#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
3039_g               -           1143 32662                -           1014         0 1540.4  45.3   1   4   3.5e-22   2.6e-19   67.3   1.5     1    84     1    84     1    92 0.91 length=1144	scaffold=gi56500279	strand=+
3039_g               -           1143 32662                -           1014         0 1540.4  45.3   2   4    0.0034       2.5    4.4   4.4    74   130    99   158    94   172 0.63 length=1144	scaffold=gi56500279	strand=+
3039_g               -           1143 32662                -           1014         0 1540.4  45.3   3   4   1.2e-12   8.7e-10   35.7   9.2    90   220   152   287   137   296 0.70 length=1144	scaffold=gi56500279	strand=+
3039_g               -           1143 32662                -           1014         0 1540.4  45.3   4   4         0         0 1442.2  13.9   199  1014   313  1143   289  1143 0.93 length=1144	scaffold=gi56500279	strand=+
2938_g               -            782 32662                -           1014  6.6e-263  873.6   6.4   1   2      0.73   5.3e+02   -3.3   6.1    82   144    15    79     2   110 0.29 length=783	scaffold=gi56499957	strand=+
2938_g               -            782 32662                -           1014  6.6e-263  873.6   6.4   2   2  9.1e-266  6.6e-263  873.6   6.4   308   994    77   774    62   780 0.90 length=783	scaffold=gi56499957	strand=+
1761_g               -           1511 32662                -           1014  4.9e-246  817.8  19.2   1   5       5.7   4.1e+03   -6.3  27.2    67   268    97   295    19   314 0.54 length=1511	scaffold=gi56499815	strand=-
1761_g               -           1511 32662                -           1014  4.9e-246  817.8  19.2   2   5  9.9e-110  7.1e-107  357.1   6.0   315   598   412   701   387   709 0.88 length=1511	scaffold=gi56499815	strand=-
1761_g               -           1511 32662                -           1014  4.9e-246  817.8  19.2   3   5      0.19   1.4e+02   -1.4   0.3   326   370   709   753   703   764 0.76 length=1511	scaffold=gi56499815	strand=-
1761_g               -           1511 32662                -           1014  4.9e-246  817.8  19.2   4   5  9.7e-146    7e-143  476.3   5.3   603   976   767  1141   759  1170 0.96 length=1511	scaffold=gi56499815	strand=-
1761_g               -           1511 32662                -           1014  4.9e-246  817.8  19.2   5   5        10   7.2e+03  -10.5  17.6    34   209  1214  1399  1206  1488 0.53 length=1511	scaffold=gi56499815	strand=-
3144_g               -            777 32662                -           1014  1.7e-145  484.9  28.0   1   3   3.3e-66   2.4e-63  213.0   1.5   362   570     2   225     1   228 0.91 length=778	scaffold=gi56500583	strand=+
3144_g               -            777 32662                -           1014  1.7e-145  484.9  28.0   2   3   2.4e-05     0.017   11.6   0.1   570   598   280   308   275   314 0.89 length=778	scaffold=gi56500583	strand=+
3144_g               -            777 32662                -           1014  1.7e-145  484.9  28.0   3   3   3.1e-80   2.3e-77  259.4  16.0   607   983   369   775   362   777 0.86 length=778	scaffold=gi56500583	strand=+
2140_g               -            557 32662                -           1014  1.4e-144  482.0  12.7   1   3   1.9e-42   1.4e-39  134.3   0.5   504   627     2   124     1   129 0.96 length=558	scaffold=gi56493751	strand=+	adjustedToFrame=2
2140_g               -            557 32662                -           1014  1.4e-144  482.0  12.7   2   3       1.6   1.2e+03   -4.4   4.6    78   126   135   183   125   192 0.43 length=558	scaffold=gi56493751	strand=+	adjustedToFrame=2
2140_g               -            557 32662                -           1014  1.4e-144  482.0  12.7   3   3  1.1e-110  8.2e-108  360.2   5.9   632   980   192   553   184   557 0.91 length=558	scaffold=gi56493751	strand=+	adjustedToFrame=2
6210_g               -            210 32662                -           1014  7.2e-143  476.3   0.3   1   1  1.1e-145    8e-143  476.1   0.3   503   712     1   210     1   210 1.00 length=210	scaffold=gi56486639	strand=-	adjustedToFrame=2
5447_g               -            419 32662                -           1014   5.7e-73  244.9   5.8   1   2   1.1e-05    0.0082   12.6   0.1   570   598    33    61    28    68 0.89 length=419	scaffold=gi56490943	strand=+	adjustedToFrame=2
5447_g               -            419 32662                -           1014   5.7e-73  244.9   5.8   2   2   5.3e-70   3.8e-67  225.6   2.6   607   820   122   334   115   418 0.83 length=419	scaffold=gi56490943	strand=+	adjustedToFrame=2
3655_g               -           1412 32662                -           1014   1.1e-58  197.6  32.5   1   5     1e-53   7.4e-51  171.7  32.8    70   594    12   540     3   553 0.63 length=1413	scaffold=gi56498771	strand=-	adjustedToFrame=3
3655_g               -           1412 32662                -           1014   1.1e-58  197.6  32.5   2   5        10   7.2e+03  -12.1  18.6    85   222   617   749   576   768 0.59 length=1413	scaffold=gi56498771	strand=-	adjustedToFrame=3
3655_g               -           1412 32662                -           1014   1.1e-58  197.6  32.5   3   5   7.2e-12   5.2e-09   33.1   0.0   642   763   770   907   766   913 0.83 length=1413	scaffold=gi56498771	strand=-	adjustedToFrame=3
3655_g               -           1412 32662                -           1014   1.1e-58  197.6  32.5   4   5       1.9   1.4e+03   -4.7   3.7    73   135  1017  1082  1002  1160 0.53 length=1413	scaffold=gi56498771	strand=-	adjustedToFrame=3
3655_g               -           1412 32662                -           1014   1.1e-58  197.6  32.5   5   5     0.027        19    1.4   2.9   919   968  1205  1257  1105  1265 0.83 length=1413	scaffold=gi56498771	strand=-	adjustedToFrame=3
826_g                -            825 32662                -           1014   2.3e-38  130.3  33.1   1   3   1.1e-11   7.9e-09   32.5   1.8   456   517    40   101    31   128 0.83 length=826	scaffold=gi56498551	strand=-	adjustedToFrame=2
826_g                -            825 32662                -           1014   2.3e-38  130.3  33.1   2   3        10   7.2e+03  -14.4  29.4    91   353   148   415   121   444 0.55 length=826	scaffold=gi56498551	strand=-	adjustedToFrame=2
826_g                -            825 32662                -           1014   2.3e-38  130.3  33.1   3   3   9.9e-36   7.2e-33  112.1  23.7   633   986   458   820   374   824 0.79 length=826	scaffold=gi56498551	strand=-	adjustedToFrame=2
