# BUSCO version is: 6.0.0 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-07-01, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
131at5794	Complete	4826_g	381.8	243	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
288at5794	Complete	2513_g	559.5	320	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
438at5794	Complete	662_g	853.8	400	https://www.orthodb.org/?query=438at5794	ATP-dependent RNA helicase
596at5794	Complete	2838_g	186.1	103	https://www.orthodb.org/?query=596at5794	ribosomal protein L44
1669at5794	Complete	2464_g	382.3	187	https://www.orthodb.org/?query=1669at5794	rRNA 2'-O-methyltransferase fibrillarin
2329at5794	Complete	821_g	210.6	129	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2798at5794	Complete	4797_g	353.8	342	https://www.orthodb.org/?query=2798at5794	protein kinase
2981at5794	Complete	3082_g	414.1	299	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
3250at5794	Complete	2481_g	388.0	291	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3276at5794	Complete	410_g	572.6	605	https://www.orthodb.org/?query=3276at5794	helicase
3510at5794	Complete	3996_g	345.3	322	https://www.orthodb.org/?query=3510at5794	bystin
3740at5794	Complete	741_g	233.4	237	https://www.orthodb.org/?query=3740at5794	trna pseudouridine synthase
3782at5794	Complete	2184_g	211.8	153	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3876at5794	Complete	4585_g	248.7	210	https://www.orthodb.org/?query=3876at5794	Repressor of RNA polymerase III transcription Maf1
4079at5794	Complete	1181_g	223.7	136	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4131at5794	Complete	133_g	470.4	308	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4331at5794	Complete	786_g	387.0	474	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
5090at5794	Complete	680_g	387.5	345	https://www.orthodb.org/?query=5090at5794	transporter
5439at5794	Complete	3162_g	1664.0	1091	https://www.orthodb.org/?query=5439at5794	Chromodomain-helicase-DNA-binding protein 1
5539at5794	Complete	650_g	302.0	318	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5667at5794	Complete	1195_g	317.9	280	https://www.orthodb.org/?query=5667at5794	mitochondrial carrier protein
7741at5794	Complete	4528_g	310.8	184	https://www.orthodb.org/?query=7741at5794	rRNA-processing protein FCF1
7803at5794	Complete	3988_g	591.7	371	https://www.orthodb.org/?query=7803at5794	actin
7861at5794	Complete	3903_g	443.9	248	https://www.orthodb.org/?query=7861at5794	Phosphoglycerate mutase
7878at5794	Complete	3925_g	440.6	209	https://www.orthodb.org/?query=7878at5794	GTP-binding nuclear protein
7921at5794	Complete	3525_g	175.2	121	https://www.orthodb.org/?query=7921at5794	N-terminal acetyltransferase complex ARD1 subunit
8083at5794	Complete	1222_g	210.0	134	https://www.orthodb.org/?query=8083at5794	DNA-directed RNA polymerases I
8233at5794	Complete	1472_g	555.7	319	https://www.orthodb.org/?query=8233at5794	replication factor C subunit
8315at5794	Complete	3562_g	403.6	385	https://www.orthodb.org/?query=8315at5794	zinc finger, C3HC4 type (RING finger) domain-containing protein
8326at5794	Complete	1127_g	313.1	165	https://www.orthodb.org/?query=8326at5794	ras-related protein Rab-11A
8327at5794	Complete	2097_g	163.8	188	https://www.orthodb.org/?query=8327at5794	putative Transcription initiation factor TFIID subunit 7
8399at5794	Complete	2542_g	497.5	293	https://www.orthodb.org/?query=8399at5794	putative ribosomal Rna (adenine(1779)-N(6)/adenine(1780)-N(6))- dimethyltransferase
8453at5794	Complete	2589_g	281.5	246	https://www.orthodb.org/?query=8453at5794	DNA-directed RNA polymerase III
8461at5794	Complete	1102_g	270.9	143	https://www.orthodb.org/?query=8461at5794	40S ribosomal protein
8471at5794	Complete	3260_g	1412.5	741	https://www.orthodb.org/?query=8471at5794	transport protein
8569at5794	Complete	1758_g	251.3	147	https://www.orthodb.org/?query=8569at5794	nucleoside diphosphate kinase A
8628at5794	Complete	2535_g	364.1	218	https://www.orthodb.org/?query=8628at5794	uracil-DNA glycosylase
8796at5794	Complete	109_g	597.7	445	https://www.orthodb.org/?query=8796at5794	cardiolipin synthase, putative
8812at5794	Complete	2333_g	478.2	258	https://www.orthodb.org/?query=8812at5794	ribosome biogenesis protein nsa2
9051at5794	Complete	3354_g	1217.7	724	https://www.orthodb.org/?query=9051at5794	DNA replication licensing factor
9112at5794	Complete	1688_g	466.8	394	https://www.orthodb.org/?query=9112at5794	zinc finger protein
9198at5794	Complete	415_g	291.7	260	https://www.orthodb.org/?query=9198at5794	asparagine synthase
9558at5794	Complete	2361_g	573.7	695	https://www.orthodb.org/?query=9558at5794	methyltransferase
9567at5794	Missing
9663at5794	Complete	3870_g	312.6	278	https://www.orthodb.org/?query=9663at5794	endoplasmic reticulum oxidoreductin
9716at5794	Complete	216_g	487.4	338	https://www.orthodb.org/?query=9716at5794	Ethanolamine-phosphate cytidylyltransferase
9722at5794	Complete	4040_g	483.8	368	https://www.orthodb.org/?query=9722at5794	thioredoxin
9831at5794	Complete	3476_g	324.6	378	https://www.orthodb.org/?query=9831at5794	hypothetical protein, conserved
9903at5794	Complete	2292_g	296.7	274	https://www.orthodb.org/?query=9903at5794	S1/P1 nuclease
9998at5794	Complete	4575_g	227.3	149	https://www.orthodb.org/?query=9998at5794	nuclear cap-binding protein
10182at5794	Complete	492_g	1107.0	880	https://www.orthodb.org/?query=10182at5794	kelch repeat-containing protein
10285at5794	Complete	2037_g	421.1	351	https://www.orthodb.org/?query=10285at5794	vacuolar protein sorting-associated protein 33
10332at5794	Complete	4715_g	625.3	577	https://www.orthodb.org/?query=10332at5794	ribosome biogenesis protein
10486at5794	Complete	453_g	627.6	517	https://www.orthodb.org/?query=10486at5794	histone deacetylase
10895at5794	Complete	4467_g	525.2	477	https://www.orthodb.org/?query=10895at5794	protein kinase
10954at5794	Complete	2319_g	729.7	462	https://www.orthodb.org/?query=10954at5794	RNA-metabolising metallo-beta-lactamase
11080at5794	Complete	769_g	503.9	389	https://www.orthodb.org/?query=11080at5794	embryo sac development arrest eda7
11330at5794	Complete	1473_g	457.9	438	https://www.orthodb.org/?query=11330at5794	DEAD/DEAH box helicase
11341at5794	Complete	1909_g	473.1	581	https://www.orthodb.org/?query=11341at5794	vacuolar protein sorting-associated protein 53, putative
11416at5794	Complete	4552_g	332.1	259	https://www.orthodb.org/?query=11416at5794	translation initiation factor
11466at5794	Complete	1168_g	271.0	195	https://www.orthodb.org/?query=11466at5794	60s ribosomal protein L13
11488at5794	Complete	2948_g	248.8	183	https://www.orthodb.org/?query=11488at5794	TB2/DP1/HVA22 family integral membrane protein
11496at5794	Complete	307_g	368.8	254	https://www.orthodb.org/?query=11496at5794	nuclear movement protein
11519at5794	Complete	1558_g	635.2	446	https://www.orthodb.org/?query=11519at5794	helicase
11538at5794	Complete	4292_g	236.9	210	https://www.orthodb.org/?query=11538at5794	RNA methyltransferase
11552at5794	Complete	2146_g	781.2	479	https://www.orthodb.org/?query=11552at5794	thioredoxin reductase
11563at5794	Complete	4230_g	549.2	672	https://www.orthodb.org/?query=11563at5794	SNF2 family N-terminal domain protein
11750at5794	Complete	4423_g	1012.2	919	https://www.orthodb.org/?query=11750at5794	SET domain protein
11788at5794	Complete	1228_g	251.6	288	https://www.orthodb.org/?query=11788at5794	Geranylgeranyl transferase type-2 subunit beta
12091at5794	Complete	267_g	372.2	216	https://www.orthodb.org/?query=12091at5794	40s ribosomal protein S6
12206at5794	Complete	4696_g	186.7	194	https://www.orthodb.org/?query=12206at5794	G-patch domain
12214at5794	Complete	1339_g	183.0	215	https://www.orthodb.org/?query=12214at5794	WD domain, G-beta repeat domain containing protein
12280at5794	Complete	541_g	552.5	329	https://www.orthodb.org/?query=12280at5794	replication factor C subunit
12327at5794	Complete	2449_g	301.9	318	https://www.orthodb.org/?query=12327at5794	CobW/HypB/UreG nucleotide-binding domain
12484at5794	Complete	1028_g	173.0	133	https://www.orthodb.org/?query=12484at5794	60S ribosomal protein L24,putative
12878at5794	Complete	4041_g	268.7	316	https://www.orthodb.org/?query=12878at5794	FCH domain containing protein
12887at5794	Complete	4736_g	232.6	280	https://www.orthodb.org/?query=12887at5794	3'-5' exonuclease
12975at5794	Complete	4527_g	153.1	118	https://www.orthodb.org/?query=12975at5794	zinc finger protein
13279at5794	Complete	1145_g	360.7	270	https://www.orthodb.org/?query=13279at5794	transcription elongation factor
13281at5794	Complete	3924_g	526.1	460	https://www.orthodb.org/?query=13281at5794	DNA mismatch repair protein
13310at5794	Complete	247_g	509.9	541	https://www.orthodb.org/?query=13310at5794	heat shock protein
13315at5794	Fragmented	2769_g	122.3	182	https://www.orthodb.org/?query=13315at5794	secy-independent transporter protein
13369at5794	Complete	892_g	223.0	185	https://www.orthodb.org/?query=13369at5794	transmembrane emp24 domain-containing protein
13548at5794	Complete	3268_g	177.2	113	https://www.orthodb.org/?query=13548at5794	Ribosomal protein L22e
13630at5794	Complete	2090_g	364.7	270	https://www.orthodb.org/?query=13630at5794	g2 protein
13731at5794	Complete	343_g	293.9	251	https://www.orthodb.org/?query=13731at5794	syntaxin
13853at5794	Complete	393_g	345.6	339	https://www.orthodb.org/?query=13853at5794	translation initiation factor eIF-2B gamma subunit
13899at5794	Complete	4851_g	229.4	189	https://www.orthodb.org/?query=13899at5794	Scd6-like Sm domain
13921at5794	Complete	1272_g	436.3	407	https://www.orthodb.org/?query=13921at5794	Formin 2 Domain containing protein
14090at5794	Complete	4847_g	553.7	474	https://www.orthodb.org/?query=14090at5794	splicing factor
14108at5794	Complete	4002_g	280.6	234	https://www.orthodb.org/?query=14108at5794	Endoplasmic reticulum-resident calcium binding protein
14164at5794	Complete	1650_g	655.8	693	https://www.orthodb.org/?query=14164at5794	methyltransferase
14250at5794	Complete	1789_g	264.8	173	https://www.orthodb.org/?query=14250at5794	U2 small nuclear ribonucleoprotein A'
14463at5794	Complete	295_g	555.7	421	https://www.orthodb.org/?query=14463at5794	26S proteasome non-ATPase regulatory subunit 3
14555at5794	Complete	4299_g	157.5	131	https://www.orthodb.org/?query=14555at5794	nascent polypeptide-associated complex subunit alpha
14579at5794	Complete	895_g	525.8	421	https://www.orthodb.org/?query=14579at5794	Ubiquitin carboxyl-terminal hydrolase
14591at5794	Missing
14730at5794	Complete	2424_g	182.0	144	https://www.orthodb.org/?query=14730at5794	ribosomal protein S27a
15005at5794	Complete	4144_g	201.7	125	https://www.orthodb.org/?query=15005at5794	DNA-directed RNA polymerase II, putative
15046at5794	Complete	1494_g	366.9	317	https://www.orthodb.org/?query=15046at5794	ADP-ribosylation factor GTPase-activating protein
15094at5794	Complete	1684_g	239.4	419	https://www.orthodb.org/?query=15094at5794	sas10 c-terminal domain-containing protein
15130at5794	Complete	3826_g	433.0	343	https://www.orthodb.org/?query=15130at5794	apicomplexan specific
15169at5794	Complete	2565_g	633.5	534	https://www.orthodb.org/?query=15169at5794	RNA helicase
15301at5794	Complete	2526_g	296.8	299	https://www.orthodb.org/?query=15301at5794	zinc finger protein
15360at5794	Complete	4758_g	151.8	231	https://www.orthodb.org/?query=15360at5794	conserved hypothetical protein
15389at5794	Complete	3594_g	688.3	634	https://www.orthodb.org/?query=15389at5794	DNA2/NAM7 helicase
15422at5794	Complete	4827_g	267.9	196	https://www.orthodb.org/?query=15422at5794	vesicle-associated membrane protein
15559at5794	Complete	3174_g	429.4	407	https://www.orthodb.org/?query=15559at5794	kelch repeat containing protein
15680at5794	Complete	3212_g	220.1	153	https://www.orthodb.org/?query=15680at5794	unchacterized apicomplexan-specific serine rich low complexity
15803at5794	Complete	435_g	182.5	176	https://www.orthodb.org/?query=15803at5794	SFT2
15911at5794	Complete	2884_g	143.4	104	https://www.orthodb.org/?query=15911at5794	60s acidic ribosomal protein P2
16038at5794	Complete	4051_g	165.1	114	https://www.orthodb.org/?query=16038at5794	60S acidic ribosomal protein
16211at5794	Missing
17147at5794	Complete	3581_g	447.4	264	https://www.orthodb.org/?query=17147at5794	Diphthine synthase
17423at5794	Complete	2201_g	585.1	378	https://www.orthodb.org/?query=17423at5794	acid phosphatase
17586at5794	Complete	2277_g	164.2	102	https://www.orthodb.org/?query=17586at5794	small nuclear ribonucleoprotein
18021at5794	Complete	903_g	547.2	415	https://www.orthodb.org/?query=18021at5794	eukaryotic translation initiation factor 3
18026at5794	Complete	4764_g	287.1	155	https://www.orthodb.org/?query=18026at5794	centrin
18028at5794	Complete	1311_g	368.5	237	https://www.orthodb.org/?query=18028at5794	Integral membrane protein
