# BUSCO version is: 6.0.0 
# The lineage dataset is: apicomplexa_odb12 (Creation date: 2025-07-01, number of genomes: 36, number of BUSCOs: 481)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
131at5794	Duplicated	13478_g	394.1	241	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
131at5794	Duplicated	9187_g	394.1	241	https://www.orthodb.org/?query=131at5794	Triosephosphate isomerase
288at5794	Duplicated	13182_g	578.8	318	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
288at5794	Duplicated	9484_g	578.8	318	https://www.orthodb.org/?query=288at5794	Deoxyhypusine synthase
438at5794	Duplicated	10113_g	820.4	377	https://www.orthodb.org/?query=438at5794	ATP-dependent RNA helicase
438at5794	Duplicated	12408_g	820.4	377	https://www.orthodb.org/?query=438at5794	ATP-dependent RNA helicase
596at5794	Missing
1669at5794	Missing
2329at5794	Duplicated	12941_g	213.0	127	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2329at5794	Duplicated	9721_g	213.0	127	https://www.orthodb.org/?query=2329at5794	40s ribosomal protein s24
2798at5794	Duplicated	4789_g	439.0	336	https://www.orthodb.org/?query=2798at5794	protein kinase
2798at5794	Duplicated	5261_g	439.0	336	https://www.orthodb.org/?query=2798at5794	protein kinase
2981at5794	Duplicated	2532_g	401.2	300	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
2981at5794	Duplicated	3213_g	401.2	300	https://www.orthodb.org/?query=2981at5794	Leucine-rich repeat protein
3250at5794	Duplicated	4656_g	345.7	285	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3250at5794	Duplicated	5128_g	345.7	285	https://www.orthodb.org/?query=3250at5794	DNA damage-inducible protein 1
3276at5794	Duplicated	12754_g	455.6	538	https://www.orthodb.org/?query=3276at5794	helicase
3276at5794	Duplicated	10506_g	455.5	538	https://www.orthodb.org/?query=3276at5794	helicase
3510at5794	Duplicated	4217_g	401.3	329	https://www.orthodb.org/?query=3510at5794	bystin
3510at5794	Duplicated	8390_g	401.3	329	https://www.orthodb.org/?query=3510at5794	bystin
3740at5794	Duplicated	13353_g	227.6	228	https://www.orthodb.org/?query=3740at5794	trna pseudouridine synthase
3740at5794	Duplicated	9317_g	240.9	225	https://www.orthodb.org/?query=3740at5794	trna pseudouridine synthase
3782at5794	Duplicated	5708_g	212.7	154	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3782at5794	Duplicated	6539_g	212.7	154	https://www.orthodb.org/?query=3782at5794	TLD domain-containing protein
3876at5794	Duplicated	10947_g	203.8	214	https://www.orthodb.org/?query=3876at5794	Repressor of RNA polymerase III transcription Maf1
3876at5794	Duplicated	11744_g	203.8	214	https://www.orthodb.org/?query=3876at5794	Repressor of RNA polymerase III transcription Maf1
4079at5794	Duplicated	13609_g	203.7	141	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4079at5794	Duplicated	9054_g	203.7	141	https://www.orthodb.org/?query=4079at5794	peptidyl-prolyl cis-trans isomerase
4131at5794	Duplicated	12701_g	415.1	305	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4131at5794	Duplicated	9822_g	415.1	305	https://www.orthodb.org/?query=4131at5794	cytoplasmic tRNA 2-thiolation protein 1
4331at5794	Duplicated	13276_g	375.1	425	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
4331at5794	Duplicated	9393_g	374.9	425	https://www.orthodb.org/?query=4331at5794	Conserved oligomeric Golgi complex
5090at5794	Duplicated	10195_g	400.1	322	https://www.orthodb.org/?query=5090at5794	transporter
5090at5794	Duplicated	12325_g	388.7	314	https://www.orthodb.org/?query=5090at5794	transporter
5439at5794	Fragmented	6295_g	1030.8	616	https://www.orthodb.org/?query=5439at5794	Chromodomain-helicase-DNA-binding protein 1
5539at5794	Duplicated	13387_g	217.3	304	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5539at5794	Duplicated	9281_g	217.3	304	https://www.orthodb.org/?query=5539at5794	Mrna capping enzyme
5667at5794	Fragmented	4883_g	229.2	207	https://www.orthodb.org/?query=5667at5794	mitochondrial carrier protein
7741at5794	Missing
7803at5794	Duplicated	10642_g	481.7	348	https://www.orthodb.org/?query=7803at5794	actin
7803at5794	Duplicated	11439_g	481.7	348	https://www.orthodb.org/?query=7803at5794	actin
7861at5794	Duplicated	1772_g	390.4	224	https://www.orthodb.org/?query=7861at5794	Phosphoglycerate mutase
7861at5794	Duplicated	955_g	390.4	224	https://www.orthodb.org/?query=7861at5794	Phosphoglycerate mutase
7878at5794	Duplicated	10966_g	449.9	210	https://www.orthodb.org/?query=7878at5794	GTP-binding nuclear protein
7878at5794	Duplicated	11763_g	449.9	210	https://www.orthodb.org/?query=7878at5794	GTP-binding nuclear protein
7921at5794	Duplicated	10608_g	172.4	121	https://www.orthodb.org/?query=7921at5794	N-terminal acetyltransferase complex ARD1 subunit
7921at5794	Duplicated	11405_g	172.4	121	https://www.orthodb.org/?query=7921at5794	N-terminal acetyltransferase complex ARD1 subunit
8083at5794	Duplicated	7001_g	219.4	134	https://www.orthodb.org/?query=8083at5794	DNA-directed RNA polymerases I
8083at5794	Duplicated	7911_g	219.4	134	https://www.orthodb.org/?query=8083at5794	DNA-directed RNA polymerases I
8233at5794	Duplicated	2082_g	531.3	304	https://www.orthodb.org/?query=8233at5794	replication factor C subunit
8233at5794	Duplicated	2179_g	531.3	304	https://www.orthodb.org/?query=8233at5794	replication factor C subunit
8315at5794	Fragmented	2923_g	231.6	250	https://www.orthodb.org/?query=8315at5794	zinc finger, C3HC4 type (RING finger) domain-containing protein
8326at5794	Missing
8327at5794	Duplicated	9838_g	188.5	185	https://www.orthodb.org/?query=8327at5794	putative Transcription initiation factor TFIID subunit 7
8327at5794	Duplicated	12686_g	185.0	176	https://www.orthodb.org/?query=8327at5794	putative Transcription initiation factor TFIID subunit 7
8399at5794	Duplicated	10956_g	487.2	286	https://www.orthodb.org/?query=8399at5794	putative ribosomal Rna (adenine(1779)-N(6)/adenine(1780)-N(6))- dimethyltransferase
8399at5794	Duplicated	11753_g	487.2	286	https://www.orthodb.org/?query=8399at5794	putative ribosomal Rna (adenine(1779)-N(6)/adenine(1780)-N(6))- dimethyltransferase
8453at5794	Fragmented	10744_g	201.7	159	https://www.orthodb.org/?query=8453at5794	DNA-directed RNA polymerase III
8461at5794	Duplicated	3937_g	274.1	143	https://www.orthodb.org/?query=8461at5794	40S ribosomal protein
8461at5794	Duplicated	8717_g	274.1	143	https://www.orthodb.org/?query=8461at5794	40S ribosomal protein
8471at5794	Duplicated	2948_g	1193.0	741	https://www.orthodb.org/?query=8471at5794	transport protein
8471at5794	Duplicated	3629_g	1193.0	741	https://www.orthodb.org/?query=8471at5794	transport protein
8569at5794	Duplicated	188_g	249.1	147	https://www.orthodb.org/?query=8569at5794	nucleoside diphosphate kinase A
8569at5794	Duplicated	201_g	249.1	147	https://www.orthodb.org/?query=8569at5794	nucleoside diphosphate kinase A
8628at5794	Fragmented	3014_g	53.7	58	https://www.orthodb.org/?query=8628at5794	uracil-DNA glycosylase
8796at5794	Fragmented	12642_g	471.1	362	https://www.orthodb.org/?query=8796at5794	cardiolipin synthase, putative
8812at5794	Duplicated	4442_g	441.7	237	https://www.orthodb.org/?query=8812at5794	ribosome biogenesis protein nsa2
8812at5794	Duplicated	8457_g	441.7	237	https://www.orthodb.org/?query=8812at5794	ribosome biogenesis protein nsa2
9051at5794	Duplicated	4512_g	1048.3	714	https://www.orthodb.org/?query=9051at5794	DNA replication licensing factor
9051at5794	Duplicated	8527_g	1048.3	714	https://www.orthodb.org/?query=9051at5794	DNA replication licensing factor
9112at5794	Duplicated	10583_g	392.3	351	https://www.orthodb.org/?query=9112at5794	zinc finger protein
9112at5794	Duplicated	11380_g	392.3	351	https://www.orthodb.org/?query=9112at5794	zinc finger protein
9198at5794	Missing
9558at5794	Fragmented	102_g	479.6	376	https://www.orthodb.org/?query=9558at5794	methyltransferase
9567at5794	Duplicated	2932_g	265.6	167	https://www.orthodb.org/?query=9567at5794	protein RER1
9567at5794	Duplicated	3613_g	265.6	167	https://www.orthodb.org/?query=9567at5794	protein RER1
9663at5794	Missing
9716at5794	Duplicated	12609_g	417.1	308	https://www.orthodb.org/?query=9716at5794	Ethanolamine-phosphate cytidylyltransferase
9716at5794	Duplicated	9914_g	417.1	308	https://www.orthodb.org/?query=9716at5794	Ethanolamine-phosphate cytidylyltransferase
9722at5794	Duplicated	545_g	460.4	368	https://www.orthodb.org/?query=9722at5794	thioredoxin
9722at5794	Duplicated	629_g	460.4	368	https://www.orthodb.org/?query=9722at5794	thioredoxin
9831at5794	Duplicated	13442_g	328.5	365	https://www.orthodb.org/?query=9831at5794	hypothetical protein, conserved
9831at5794	Duplicated	9223_g	328.5	365	https://www.orthodb.org/?query=9831at5794	hypothetical protein, conserved
9903at5794	Duplicated	4315_g	240.1	243	https://www.orthodb.org/?query=9903at5794	S1/P1 nuclease
9903at5794	Duplicated	8292_g	240.1	243	https://www.orthodb.org/?query=9903at5794	S1/P1 nuclease
9998at5794	Duplicated	2836_g	203.4	150	https://www.orthodb.org/?query=9998at5794	nuclear cap-binding protein
9998at5794	Duplicated	3517_g	203.4	150	https://www.orthodb.org/?query=9998at5794	nuclear cap-binding protein
10182at5794	Duplicated	3050_g	1109.7	879	https://www.orthodb.org/?query=10182at5794	kelch repeat-containing protein
10182at5794	Duplicated	3731_g	1109.7	879	https://www.orthodb.org/?query=10182at5794	kelch repeat-containing protein
10285at5794	Duplicated	141_g	338.5	339	https://www.orthodb.org/?query=10285at5794	vacuolar protein sorting-associated protein 33
10285at5794	Duplicated	250_g	338.5	339	https://www.orthodb.org/?query=10285at5794	vacuolar protein sorting-associated protein 33
10332at5794	Fragmented	2669_g	371.6	438	https://www.orthodb.org/?query=10332at5794	ribosome biogenesis protein
10486at5794	Duplicated	4948_g	646.8	474	https://www.orthodb.org/?query=10486at5794	histone deacetylase
10486at5794	Duplicated	5420_g	646.8	474	https://www.orthodb.org/?query=10486at5794	histone deacetylase
10895at5794	Duplicated	1923_g	377.4	450	https://www.orthodb.org/?query=10895at5794	protein kinase
10895at5794	Duplicated	2338_g	376.2	450	https://www.orthodb.org/?query=10895at5794	protein kinase
10954at5794	Duplicated	3073_g	625.5	459	https://www.orthodb.org/?query=10954at5794	RNA-metabolising metallo-beta-lactamase
10954at5794	Duplicated	3754_g	625.5	459	https://www.orthodb.org/?query=10954at5794	RNA-metabolising metallo-beta-lactamase
11080at5794	Duplicated	193_g	501.5	389	https://www.orthodb.org/?query=11080at5794	embryo sac development arrest eda7
11080at5794	Duplicated	196_g	501.5	389	https://www.orthodb.org/?query=11080at5794	embryo sac development arrest eda7
11330at5794	Duplicated	5878_g	495.3	434	https://www.orthodb.org/?query=11330at5794	DEAD/DEAH box helicase
11330at5794	Duplicated	6372_g	495.3	434	https://www.orthodb.org/?query=11330at5794	DEAD/DEAH box helicase
11341at5794	Duplicated	1786_g	486.5	598	https://www.orthodb.org/?query=11341at5794	vacuolar protein sorting-associated protein 53, putative
11341at5794	Duplicated	969_g	486.5	598	https://www.orthodb.org/?query=11341at5794	vacuolar protein sorting-associated protein 53, putative
11416at5794	Duplicated	279_g	329.6	247	https://www.orthodb.org/?query=11416at5794	translation initiation factor
11416at5794	Duplicated	112_g	294.0	245	https://www.orthodb.org/?query=11416at5794	translation initiation factor
11466at5794	Duplicated	6590_g	289.9	195	https://www.orthodb.org/?query=11466at5794	60s ribosomal protein L13
11466at5794	Duplicated	5657_g	289.3	195	https://www.orthodb.org/?query=11466at5794	60s ribosomal protein L13
11488at5794	Duplicated	6050_g	258.5	182	https://www.orthodb.org/?query=11488at5794	TB2/DP1/HVA22 family integral membrane protein
11488at5794	Duplicated	6202_g	258.5	182	https://www.orthodb.org/?query=11488at5794	TB2/DP1/HVA22 family integral membrane protein
11496at5794	Duplicated	6997_g	341.2	254	https://www.orthodb.org/?query=11496at5794	nuclear movement protein
11496at5794	Duplicated	7915_g	341.2	254	https://www.orthodb.org/?query=11496at5794	nuclear movement protein
11519at5794	Duplicated	10648_g	640.9	450	https://www.orthodb.org/?query=11519at5794	helicase
11519at5794	Duplicated	11445_g	640.9	450	https://www.orthodb.org/?query=11519at5794	helicase
11538at5794	Duplicated	503_g	236.3	208	https://www.orthodb.org/?query=11538at5794	RNA methyltransferase
11538at5794	Duplicated	670_g	236.3	208	https://www.orthodb.org/?query=11538at5794	RNA methyltransferase
11552at5794	Duplicated	12658_g	740.4	473	https://www.orthodb.org/?query=11552at5794	thioredoxin reductase
11552at5794	Duplicated	9865_g	740.4	473	https://www.orthodb.org/?query=11552at5794	thioredoxin reductase
11563at5794	Duplicated	574_g	1197.2	785	https://www.orthodb.org/?query=11563at5794	SNF2 family N-terminal domain protein
11563at5794	Duplicated	599_g	1197.2	785	https://www.orthodb.org/?query=11563at5794	SNF2 family N-terminal domain protein
11750at5794	Duplicated	2967_g	1071.9	925	https://www.orthodb.org/?query=11750at5794	SET domain protein
