#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
600_g                -            196 35557                -            569     2e-63  211.3   0.3   1   1     1e-65   2.4e-63  211.0   0.3   389   567     9   191     2   193 0.87 length=197	scaffold=contig00866	strand=-	adjustedToFrame=2
877_g                -            138 35557                -            569   1.6e-42  142.2   0.5   1   1   7.9e-45   1.9e-42  142.0   0.5   454   554    22   122    15   137 0.90 length=139	scaffold=contig01374	strand=+
609_g                -            501 35557                -            569   1.4e-18   63.2   3.9   1   2   1.3e-08   3.1e-06   22.4   1.1    29   114   245   332   233   349 0.86 length=502	scaffold=contig00890	strand=-
609_g                -            501 35557                -            569   1.4e-18   63.2   3.9   2   2   2.7e-14   6.4e-12   41.2   0.1    53   193   357   498   339   501 0.83 length=502	scaffold=contig00890	strand=-
1106_g               -            362 35557                -            569   2.3e-14   49.3   5.9   1   3   4.3e-08     1e-05   20.7   1.1    37   113    73   148    69   157 0.92 length=363	scaffold=contig01777	strand=-
1106_g               -            362 35557                -            569   2.3e-14   49.3   5.9   2   3   4.8e-05     0.012   10.6   0.9    38   117   159   234   151   238 0.77 length=363	scaffold=contig01777	strand=-
1106_g               -            362 35557                -            569   2.3e-14   49.3   5.9   3   3   1.3e-08   3.1e-06   22.4   0.0    45   185   206   353   196   359 0.85 length=363	scaffold=contig01777	strand=-
165_g                -            533 35557                -            569   3.4e-13   45.4   6.0   1   4   1.8e-11   4.2e-09   31.9   0.7    38   131    67   159    38   198 0.85 length=534	scaffold=contig00255	strand=-
165_g                -            533 35557                -            569   3.4e-13   45.4   6.0   2   4      0.83     2e+02   -3.3   0.0   334   370   225   260   219   270 0.80 length=534	scaffold=contig00255	strand=-
165_g                -            533 35557                -            569   3.4e-13   45.4   6.0   3   4   0.00011     0.027    9.4   0.1   198   263   342   409   332   414 0.78 length=534	scaffold=contig00255	strand=-
165_g                -            533 35557                -            569   3.4e-13   45.4   6.0   4   4    0.0017       0.4    5.5   0.0    39    82   409   455   407   471 0.79 length=534	scaffold=contig00255	strand=-
783_g                -            327 35557                -            569   4.4e-07   25.2   0.0   1   3    0.0064       1.5    3.6   0.0    80   175     7   102     3   116 0.65 length=328	scaffold=contig01189	strand=-
783_g                -            327 35557                -            569   4.4e-07   25.2   0.0   2   3     7e-07   0.00017   16.7   0.1   103   200   121   219   103   226 0.82 length=328	scaffold=contig01189	strand=-
783_g                -            327 35557                -            569   4.4e-07   25.2   0.0   3   3     0.041       9.9    0.9   0.0   146   196   269   319   261   325 0.89 length=328	scaffold=contig01189	strand=-
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/inf-20-2025/Malaria/busco_downloads/lineages/apicomplexa_odb12/hmms/35557at5794.hmm
# Target file:     /home/inf-20-2025/Malaria/Results/6_nobird_annotation/H_tartakovskyi.faa
# Option settings: hmmsearch --domtblout Results/8_busco/H_tartakovskyi/run_apicomplexa_odb12/hmmer_output/initial_run_results/35557at5794.out --cpu 1 /home/inf-20-2025/Malaria/busco_downloads/lineages/apicomplexa_odb12/hmms/35557at5794.hmm /home/inf-20-2025/Malaria/Results/6_nobird_annotation/H_tartakovskyi.faa 
# Current dir:     /home/inf-20-2025/Malaria
# Date:            Wed Mar  4 18:30:05 2026
# [ok]
