# Species	Genes	Alg.-Conn.	H_tartakovskyi.faa	P_berghei.faa	P_cynomolgi.faa	P_faciparum.faa	P_knowlesi.faa	P_vivax.faa	P_yoelii.faa	T_gondii.faa
8	15	0.12	1107_g	1717_g,4836_g	1612_g,1733_g	1561_g,1443_g	1673_g,1775_g	1704_g,1587_g	2664_g,2549_g	14_g,376_g
8	11	0.535	315_g	4130_g	1048_g	229_g	1081_g	1028_g	418_g	4925_g,5397_g,4924_g,5396_g
8	10	0.394	464_g	3557_g	2424_g	2416_g	1175_g,2492_g	2381_g	1472_g	2082_g,2179_g
8	10	0.285	456_g,458_g	3936_g	178_g	4565_g	190_g	173_g	4372_g	9790_g,12734_g
8	10	0.2	1044_g	3284_g,6106_g	892_g	383_g	929_g	874_g	277_g	4216_g,8391_g
8	10	0.165	803_g	5497_g,4099_g	1091_g	1942_g	1124_g	1071_g	459_g	3293_g,2612_g
8	10	0.154	391_g	1618_g,5298_g	2147_g	772_g	2198_g	2104_g	1200_g	9958_g,12563_g
8	9	0.778	140_g	462_g	663_g	3511_g	682_g	636_g	136_g	5749_g,6499_g
8	9	0.667	100_g	1656_g	587_g	3585_g	602_g	562_g	4305_g	7382_g,7536_g
8	9	0.667	1025_g	4105_g	3705_g	3357_g	3793_g	3590_g	3043_g	7331_g,7588_g
8	9	0.667	1075_g	6644_g	4477_g	2634_g	4589_g	4484_g	3988_g	10642_g,11439_g
8	9	0.667	1130_g	3003_g	2339_g	2327_g	2406_g	2298_g	1392_g	4686_g,5158_g
8	9	0.667	711_g	4259_g	428_g	557_g	438_g	413_g	1695_g	5777_g,6471_g
8	9	0.621	465_g	3556_g	2425_g	2417_g	2493_g	2382_g	1473_g	5878_g,6372_g
8	9	0.598	264_g	602_g	2991_g	1171_g	3060_g	2945_g	3429_g	403_g,771_g
8	9	0.598	506_g	2785_g	1552_g	1619_g	1606_g	1532_g	2723_g	10004_g,12514_g
8	9	0.556	1335_g	3891_g	992_g	282_g	1023_g	976_g	365_g	9414_g,13254_g
8	9	0.556	22_g	2466_g	4357_g	3772_g	4466_g	4368_g	2859_g	4502_g,8517_g
8	9	0.556	776_g	6882_g	4424_g	2579_g	4528_g	4427_g	4040_g	545_g,629_g
8	9	0.556	829_g	3060_g	3567_g	3220_g	3648_g	3721_g	3172_g	5702_g,6545_g
8	9	0.556	962_g	3166_g	4475_g	2632_g	4587_g	4482_g	3990_g	4428_g,8443_g
8	9	0.537	132_g	6250_g	342_g	639_g	347_g	331_g	1774_g	10441_g,12818_g
8	9	0.537	393_g	932_g	445_g	543_g	455_g	428_g	1681_g	7103_g,7813_g
8	9	0.537	610_g	3892_g	993_g	281_g	1024_g	977_g	366_g	11223_g,12020_g
8	9	0.518	728_g	360_g	3602_g	3254_g	3686_g	3687_g	3136_g	3295_g,2614_g
8	9	0.504	1418_g	2383_g	2511_g	2505_g	2587_g	2472_g	1555_g	10425_g,12834_g
8	9	0.469	666_g	2935_g	2371_g	2360_g	2447_g	2331_g	1424_g	5731_g,6517_g
8	9	0.444	573_g	2302_g	1076_g	1957_g	1109_g	1056_g	444_g	9751_g,12911_g
8	9	0.444	98_g	2299_g	3472_g	5163_g	3552_g	3466_g	3019_g	9380_g,13289_g
8	9	0.434	1406_g	5512_g	3117_g	4862_g	1477_g	3090_g	4206_g	2651_g,3332_g
8	9	0.434	935_g	1015_g	3522_g	3172_g	3597_g	3527_g	1846_g	5771_g,6477_g
8	9	0.432	1317_g	3364_g	3825_g	4062_g	3905_g	3816_g	2251_g	7357_g,7561_g
8	9	0.431	143_g	170_g	167_g	4577_g	179_g	161_g	4362_g	4256_g,8349_g
8	9	0.415	438_g	3922_g	1407_g	1636_g	1451_g	1383_g	4840_g	4111_g,8891_g
8	9	0.411	1297_g	3567_g	909_g	364_g	948_g	891_g	293_g	10547_g,11344_g
8	9	0.404	1056_g	2123_g	709_g	3462_g	734_g	687_g	87_g	2861_g,3542_g
8	9	0.402	510_g	3055_g	4787_g	2933_g	4896_g	4784_g	3697_g	946_g,1763_g
8	9	0.395	1341_g	6755_g	2216_g	2198_g	2275_g	2172_g	1268_g	2084_g,2177_g
8	9	0.388	1382_g	5025_g	1987_g	112_g	2023_g	1946_g	1047_g	6877_g,8036_g
8	9	0.387	105_g	619_g	2804_g	1237_g	2879_g	2779_g	1905_g	11055_g,11852_g
8	9	0.369	367_g	944_g	2979_g	1160_g	3048_g	2933_g	3416_g	4581_g,8596_g
8	9	0.364	549_g	2782_g	1409_g	1634_g	1453_g	1385_g	4842_g	340_g,52_g
8	9	0.333	272_g	1937_g	614_g	3559_g	631_g	588_g	4332_g	9934_g,12589_g
8	9	0.333	382_g	3654_g	1905_g	31_g	1940_g	1868_g	968_g	4250_g,8355_g
8	9	0.322	492_g	3164_g	745_g	3425_g	781_g	721_g	54_g	2090_g,2171_g
8	9	0.319	294_g	1302_g	1758_g	1417_g	1804_g	1729_g	2523_g	6473_g,5775_g
8	9	0.317	1069_g	2438_g	968_g	305_g	1000_g	953_g	343_g	9142_g,13524_g
8	9	0.315	1046_g	1098_g	269_g	4480_g	287_g	257_g	4460_g	9860_g,12664_g
8	9	0.313	157_g	164_g	267_g	1712_g	285_g	255_g	4458_g	10232_g,12291_g
8	9	0.307	523_g	2904_g	2077_g	202_g	2120_g	2034_g	1129_g	7393_g,7525_g
8	9	0.304	174_g	3329_g	695_g	3474_g	722_g	674_g	101_g	4001_g,8781_g
8	9	0.303	1088_g	5862_g	2182_g	2165_g	2238_g	2139_g	1233_g	4382_g,8227_g
8	9	0.301	173_g	4229_g	81_g	4662_g	90_g	76_g	857_g	10840_g,11637_g
8	9	0.297	1240_g	3596_g	2481_g	2475_g	2554_g	2442_g	1526_g	4940_g,5412_g
8	9	0.274	1306_g	948_g	2329_g	2316_g	2395_g	2288_g	1382_g	10045_g,12477_g
8	9	0.274	563_g	1845_g	1419_g	1973_g	1462_g	1393_g	4850_g	11234_g,12031_g
8	9	0.261	794_g	845_g	1739_g	1436_g	1782_g	1710_g	2542_g	10956_g,11753_g
8	9	0.226	692_g	3827_g	3886_g	4126_g	3969_g	3880_g	2185_g	1985_g,2275_g
8	9	0.222	556_g	4090_g	433_g	553_g	443_g	418_g	1691_g	7275_g,7643_g
8	9	0.222	588_g	600_g	2989_g	1169_g	3058_g	2943_g	3427_g	9463_g,13203_g
8	9	0.218	1222_g	3000_g	1415_g	1970_g	1459_g	1390_g	4847_g	10845_g,11642_g
8	9	0.211	25_g	1030_g,4979_g	4355_g	3775_g	4463_g	4365_g	2862_g	12265_g
8	9	0.203	1334_g	6091_g	3755_g	3996_g	3832_g	3751_g	2963_g	6738_g,8172_g
8	9	0.19	1067_g	922_g	115_g	4630_g	124_g	107_g	827_g	10975_g,11772_g
8	9	0.182	127_g	5676_g,2890_g	1991_g	116_g	2031_g	1950_g	1051_g	6732_g
8	9	0.18	603_g	1891_g	206_g	4541_g	219_g	196_g	4396_g	11162_g,11959_g
8	9	0.167	109_g	519_g	1223_g	1813_g	1269_g	1204_g	592_g	69_g,322_g
8	9	0.157	336_g	837_g	1087_g	1946_g	1120_g	1067_g	455_g	5283_g,4811_g
8	9	0.148	1425_g	1597_g	1198_g	1836_g	1243_g	1181_g	569_g	11062_g,11859_g
8	9	0.14	1097_g	1445_g	2267_g	2255_g	2330_g	2228_g	1322_g	4619_g,5091_g
8	9	0.111	162_g	2744_g	1699_g	1477_g	1755_g	1671_g	2579_g	6054_g,6198_g
8	9	0.111	439_g	3923_g	1406_g	1637_g	1450_g	1382_g	4839_g	10655_g,11452_g
8	9	0.111	547_g	2712_g	1880_g	1301_g	1920_g	1844_g	2417_g	1871_g,2390_g
8	9	0.111	671_g	192_g	2144_g	775_g	2195_g	2101_g	1198_g	5871_g,6379_g
8	9	0.111	738_g	1718_g	580_g	3591_g	596_g	557_g	4299_g	4718_g,5190_g
8	9	0.111	934_g	1014_g	3523_g	3173_g	3598_g	3528_g	1845_g	3139_g,3820_g
8	9	0.106	639_g	4423_g	2285_g	2273_g	2352_g	2246_g	1338_g	2352_g,1909_g
8	9	0.104	380_g	3655_g	1903_g	30_g	1939_g	1867_g	967_g	242_g,148_g
8	9	0.104	661_g	4287_g	399_g	583_g	410_g	388_g	1717_g	4030_g,8810_g
8	9	0.103	770_g	2212_g	643_g	3531_g	660_g	617_g	779_g	11180_g,11977_g
8	9	0.103	826_g	3391_g,5294_g	788_g	484_g	825_g	774_g	179_g	1346_g
8	9	0.103	943_g	2187_g	421_g	564_g	431_g	406_g	1701_g	2869_g,3550_g
8	8	0.5	584_g	2645_g	4617_g	2773_g	4728_g	4621_g	3859_g	6853_g
8	8	0.43	94_g	3701_g	2116_g	804_g	2164_g	2074_g	1170_g	8369_g
8	8	0.12	389_g	2737_g	4480_g	2637_g	4592_g	4487_g	3985_g	1735_g
8	8	0.112	354_g	3652_g	1036_g	239_g	1070_g	1018_g	408_g	9718_g
8	8	0.0879	1031_g	632_g	1622_g	1552_g	1683_g	1597_g	2654_g	1169_g
8	8	0.0851	716_g	5421_g	1456_g	2059_g	1501_g	1433_g	4103_g	320_g
7	14	0.464	*	3875_g	452_g	535_g,536_g	461_g,462_g	436_g,435_g	1673_g,1674_g	124_g,267_g,4036_g,8816_g
7	13	0.116	*	888_g	682_g,618_g	3491_g,3555_g	635_g,705_g	658_g,592_g	116_g,4336_g	5768_g,6480_g
7	11	0.41	764_g	975_g	2221_g	2208_g	2281_g	5484_g,5485_g,2178_g,5571_g	*	425_g,750_g
7	11	0.257	*	6791_g	3101_g	2032_g,1275_g,663_g,3715_g	3166_g	3073_g	4222_g	9899_g,12624_g
7	11	0.14	*	3114_g	4216_g	3913_g,2682_g	4319_g	5549_g,5550_g,4227_g	651_g	807_g,1624_g
7	10	0.7	*	534_g,749_g	3470_g	5161_g,3978_g	3549_g	3464_g	3022_g	10375_g,12149_g
7	10	0.186	*	2891_g	1992_g	117_g	2032_g	1951_g	1052_g	9297_g,13371_g,9298_g,13370_g
7	10	0.126	*	3770_g	1820_g	1357_g,1358_g,1359_g	1862_g	1786_g	2469_g	4971_g,5443_g
